Sensor0,Sensor1,Sensor2,Sensor3,Sensor4

493,493,492,493,382
491,492,490,492,407
492,491,491,493,495
492,494,492,493,416
492,493,491,493,379
492,492,490,492,368
490,492,492,494,378
5,493,493,493,493
495,492,494,492,493
416,492,493,491,493
379,492,492,490,492
368,490,492,492,494
378,492,493,490,493
388,5,492,494,492
493,416,492,493,491
493,379,492,492,490
492,368,490,492,492
494,378,492,493,490
493,388,490,493,490
492,433,491,493,492
492,493,491,493,491
490,560,492,494,491
491,625,492,493,492
493,635,493,492,490
493,623,491,495,494
494,554,491,492,492
493,453,491,494,492
493,399,490,493,493
492,371,492,493,493
492,373,491,492,491
493,378,491,494,491
491,406,492,493,491
492,459,491,492,492
492,517,490,493,492
492,597,491,492,490
492,634,491,494,493
493,629,490,494,493
494,603,491,494,493
493,509,492,494,492
492,421,491,493,491
493,385,492,496,491
492,368,489,493,493
493,376,491,492,492
493,386,492,492,491
493,425,491,493,492
492,485,489,494,491
493,550,489,494,490
492,621,489,494,492
493,637,491,494,492
491,626,492,495,493
491,572,490,493,492
493,466,491,493,491
493,403,491,494,491
492,370,493,492,490
493,370,490,491,491
493,378,489,493,491
491,403,492,493,492
493,451,492,493,491
492,511,490,494,493
492,590,491,494,492
492,633,492,494,491
491,632,493,494,490
493,613,490,493,490
493,522,491,494,493
492,429,490,492,491
493,390,490,492,493
494,370,490,493,493
493,375,492,492,491
493,386,492,495,493
493,418,491,493,492
492,479,491,492,491
492,543,492,492,489
492,615,493,492,493
492,637,491,492,491
494,626,492,494,491
491,578,489,493,493
494,477,490,493,492
493,409,491,494,493
492,372,491,492,492
492,373,491,494,493
494,377,490,493,491
492,396,492,493,490
492,445,491,492,490
492,503,491,492,491
493,574,491,494,491
492,631,490,493,492
493,632,491,492,493
492,621,490,494,492
492,537,492,494,492
492,438,492,494,492
494,393,491,494,491
492,371,491,494,493
492,372,490,492,492
494,382,491,492,492
495,412,491,493,492
493,470,491,493,491
493,532,490,493,490
493,608,491,494,491
491,637,492,493,491
492,629,492,493,490
491,589,493,494,494
493,489,492,494,491
492,412,490,494,492
493,376,490,492,491
494,370,489,493,492
493,379,490,494,492
493,389,490,494,491
493,437,490,494,492
491,497,491,493,491
493,567,492,493,490
492,629,491,492,490
493,633,492,492,491
493,623,491,495,493
495,548,491,494,493
492,447,492,493,493
494,398,490,493,493
492,371,489,494,493
491,374,491,492,492
494,380,492,494,490
491,406,490,494,492
492,462,490,493,492
492,523,490,492,491
493,601,490,492,490
492,636,491,494,492
493,630,490,492,491
492,597,491,495,493
492,502,491,494,492
493,419,491,494,491
492,384,493,496,492
491,369,490,494,493
493,375,491,492,493
491,388,490,492,492
494,430,490,493,491
493,489,491,492,492
492,555,490,492,491
492,622,491,494,491
492,633,490,493,492
492,625,491,495,491
492,564,492,494,491
492,460,491,494,490
493,400,490,494,491
493,369,491,495,491
491,373,489,493,492
494,380,490,493,493
493,404,489,493,492
492,455,491,493,492
492,516,492,493,491
493,593,490,492,491
492,633,492,493,491
494,630,492,492,491
493,607,492,492,492
493,514,491,495,493
493,427,490,493,492
493,387,492,494,491
494,371,490,494,493
492,378,491,494,492
492,386,492,496,490
495,423,490,493,491
492,482,491,493,492
492,547,490,491,490
493,617,490,492,492
494,635,490,492,492
494,626,493,494,491
492,576,491,493,492
493,470,492,493,492
492,407,490,494,491
491,374,491,495,491
492,372,493,493,493
493,378,490,492,490
492,398,491,494,491
491,447,491,492,492
492,507,491,492,492
494,582,489,492,492
494,632,490,494,492
493,631,490,492,492
491,619,491,492,492
494,527,491,494,491
493,434,491,493,491
492,392,492,492,491
492,370,491,494,492
491,374,490,491,491
492,385,492,494,493
494,417,490,493,492
493,474,491,493,492
492,537,491,494,491
494,611,490,494,492
492,638,491,493,492
492,626,492,492,490
493,583,492,492,491
494,484,492,493,491
493,412,492,494,491
494,376,489,492,490
493,370,491,495,493
492,379,491,495,492
492,396,491,495,491
492,442,491,494,491
492,500,489,493,492
493,572,491,491,489
492,629,491,494,492
494,632,489,493,493
494,620,490,492,492
495,541,492,493,491
492,442,492,493,491
492,396,492,492,490
493,371,491,494,491
492,373,492,494,491
492,382,493,493,490
491,410,492,493,492
493,466,491,492,491
492,528,490,493,492
494,605,489,492,493
493,635,491,494,492
493,630,492,492,491
494,590,491,495,492
493,494,492,493,491
492,415,491,494,491
493,379,492,493,491
492,370,491,492,491
493,375,491,492,492
492,391,492,492,493
494,435,491,493,491
492,493,490,493,493
492,563,490,493,493
492,627,491,494,491
492,633,490,493,493
493,623,492,493,493
494,555,491,493,492
492,451,491,493,491
493,399,490,492,491
494,369,490,494,491
492,372,490,494,493
492,380,491,491,490
491,407,491,494,492
492,460,490,493,491
493,520,492,493,490
493,599,490,493,491
494,634,490,494,491
491,631,490,493,493
494,600,490,493,494
494,508,490,492,491
493,421,491,493,493
492,384,491,493,491
493,372,491,494,492
494,375,490,494,492
493,387,493,493,491
494,428,492,493,491
493,486,491,494,491
492,552,489,491,491
495,623,493,492,490
493,636,491,494,493
493,626,491,494,493
492,571,492,495,492
493,462,491,494,492
492,404,492,493,492
493,370,494,494,490
493,369,491,492,491
493,379,490,492,491
495,400,492,495,490
491,452,489,492,492
493,513,490,492,492
492,591,490,494,493
492,633,491,494,491
493,632,492,493,490
492,613,494,493,494
493,521,491,493,491
493,428,491,493,492
492,387,490,492,491
494,370,489,493,490
494,376,490,494,493
492,384,491,492,493
492,423,491,492,491
494,478,491,493,491
492,543,492,493,490
492,616,493,491,491
493,635,492,494,491
491,625,489,492,492
491,580,494,494,493
493,474,490,493,492
493,408,490,493,493
493,375,490,494,490
494,369,491,495,491
492,379,491,493,493
494,397,495,493,491
493,445,492,493,492
493,505,492,491,491
493,577,490,492,491
491,630,491,493,492
494,634,489,491,491
493,618,489,496,493
492,534,491,493,493
493,438,491,494,492
492,394,490,493,493
494,371,492,492,490
491,375,491,494,490
494,381,490,491,491
495,413,489,493,492
493,470,491,492,490
492,531,491,493,493
492,612,490,491,492
494,636,492,494,491
491,628,492,493,491
493,589,493,494,491
494,488,491,494,492
492,412,491,493,491
492,379,492,492,491
494,370,490,494,494
493,378,491,494,494
493,392,491,495,492
492,438,491,493,491
492,498,490,494,491
493,566,490,492,491
492,627,491,492,492
494,632,490,492,492
495,620,490,492,491
491,548,492,493,492
494,446,491,494,491
492,396,491,495,493
492,370,489,494,492
491,373,492,494,491
491,380,490,493,492
491,407,492,492,492
493,463,491,493,491
492,523,492,492,491
494,601,491,491,491
494,635,492,493,490
492,628,492,494,494
492,594,492,492,491
492,500,491,495,493
492,417,491,494,493
492,383,492,494,492
491,370,492,492,494
491,377,490,492,493
494,387,491,495,489
492,430,490,492,490
493,490,490,493,491
493,557,490,493,492
