Sensor0,Sensor1,Sensor2,Sensor3,Sensor4

493,490,494,401,489
492,491,493,456,489
493,491,494,9,493
494,493,493,390,491
493,491,493,371,492
495,492,492,375,492
495,492,492,384,493
495,491,492,421,492
493,490,3,493,390
491,493,491,493,371
492,495,492,492,375
492,495,492,492,384
493,495,491,492,421
492,493,490,492,476
491,492,491,492,540
491,492,493,492,617
490,492,491,493,634
490,492,492,494,626
489,493,493,495,581
490,493,490,492,478
491,493,492,493,409
491,492,491,492,376
491,495,492,492,371
492,494,491,492,378
492,493,491,493,395
490,494,491,493,443
491,493,492,493,507
491,492,491,493,576
490,492,492,494,631
490,493,492,492,635
491,492,491,494,621
492,496,493,495,535
491,494,492,493,438
492,494,490,492,392
492,493,491,492,369
492,492,491,493,372
490,495,491,492,383
491,493,493,494,414
492,493,491,493,470
491,494,492,493,532
490,494,492,492,611
490,494,491,494,635
490,492,491,492,628
492,494,493,495,589
494,492,490,493,488
492,494,492,493,412
491,493,492,494,377
492,495,491,492,368
490,493,493,493,377
491,492,492,492,392
490,494,492,492,438
491,494,492,492,498
490,494,492,493,566
490,493,490,491,628
491,494,493,492,633
490,492,491,494,620
490,492,492,494,547
491,493,492,494,447
491,492,492,492,397
492,492,493,491,371
490,492,491,494,371
493,494,491,492,381
492,493,490,492,407
492,492,491,493,463
490,493,491,492,522
490,492,491,491,605
491,494,492,493,636
491,494,492,492,630
491,494,493,493,597
491,495,492,494,500
492,495,492,492,417
491,493,492,494,382
493,493,490,491,369
492,492,491,493,374
491,492,491,493,389
491,494,491,494,431
490,493,491,492,491
491,492,491,493,559
490,493,492,493,624
491,494,492,492,635
491,494,491,491,624
490,492,493,494,560
492,493,492,494,456
490,493,490,492,400
491,492,491,494,368
491,492,492,494,371
489,493,490,492,380
492,494,493,492,405
491,492,492,494,458
490,493,491,492,517
492,493,490,491,595
492,494,491,493,636
491,494,492,494,630
491,492,492,492,608
493,492,493,495,512
492,493,492,493,423
492,493,494,492,386
490,492,491,492,370
491,494,491,491,373
489,493,492,492,386
493,493,490,492,425
491,493,491,492,482
490,492,491,493,547
490,491,492,491,622
491,493,492,493,635
491,492,491,493,627
491,494,494,491,573
491,495,493,492,466
491,493,492,492,405
490,493,492,492,371
492,495,492,493,370
490,491,491,493,377
491,492,491,493,397
490,492,492,493,449
490,494,492,492,511
490,493,491,493,584
491,492,491,492,635
491,494,491,491,633
492,493,490,491,616
493,494,491,494,525
490,493,491,492,431
492,494,492,492,390
490,492,491,495,370
490,493,493,493,375
490,494,493,493,385
490,494,493,492,417
490,492,491,492,477
491,494,492,492,540
490,492,490,492,616
492,493,491,492,636
491,493,492,494,626
490,495,492,492,585
491,493,493,494,479
492,494,493,494,409
491,493,493,492,375
491,494,493,491,370
491,494,492,495,376
490,492,490,492,396
493,493,493,492,443
491,493,491,493,503
491,492,491,493,574
490,492,491,494,630
492,493,491,493,635
491,493,492,493,618
492,492,493,492,538
492,494,492,493,439
491,494,491,492,394
492,494,491,491,371
492,493,493,492,374
491,492,491,493,382
491,495,492,494,411
490,492,492,493,468
491,493,491,493,531
490,493,492,493,608
492,492,492,492,637
493,493,492,494,628
492,493,490,493,591
494,494,491,493,491
493,494,492,493,413
491,494,492,492,377
491,492,491,491,371
492,493,493,493,378
490,493,492,493,391
490,494,492,492,438
490,493,491,492,496
491,493,491,491,567
490,491,492,494,629
491,493,491,494,634
491,491,491,493,621
491,492,490,494,548
491,493,492,493,449
491,494,491,493,398
490,493,490,492,370
489,494,492,492,375
491,494,492,491,382
492,495,491,491,407
490,492,492,493,464
491,493,491,493,523
491,493,491,493,601
490,491,491,494,635
490,493,492,493,630
491,494,491,492,597
493,494,492,492,503
492,493,491,492,418
491,493,491,492,383
493,492,490,491,369
492,491,490,492,376
489,493,492,493,386
490,491,490,491,432
492,492,491,493,490
490,492,491,493,557
490,493,492,492,624
491,493,491,491,635
490,492,493,494,625
493,494,490,494,562
490,494,492,492,457
491,492,491,493,401
491,492,491,494,368
490,491,491,491,372
492,493,493,493,381
491,492,490,492,404
490,494,492,491,456
490,492,491,492,516
491,493,490,491,593
489,492,492,492,634
491,492,491,491,631
491,491,492,494,605
490,491,492,494,515
491,492,491,492,424
490,493,491,492,386
490,494,493,491,369
490,492,492,491,375
492,493,491,492,385
493,492,489,492,424
492,492,491,492,482
491,492,492,491,549
491,491,491,493,617
492,492,490,492,637
491,494,493,492,627
492,494,493,491,575
492,494,492,492,466
491,493,492,492,406
492,493,492,492,370
489,492,491,493,369
490,491,492,494,378
490,492,491,494,397
489,493,491,492,450
490,492,491,492,510
491,492,491,490,586
490,494,492,491,633
492,492,490,491,632
492,492,490,492,615
490,494,490,494,526
492,493,492,492,430
491,492,491,493,390
490,492,492,494,370
490,493,492,492,375
490,493,492,491,382
490,490,490,491,420
491,493,490,492,474
