Sensor0,Sensor1,Sensor2,Sensor3,Sensor4

377,489,493,491,493
387,490,493,493,492
424,489,493,194,492
492,473,492,493,492
493,410,493,9,491
491,493,631,491,491
491,494,620,491,492
491,494,572,491,494
492,492,473,492,493
492,493,410,493,492
490,493,377,1,491
491,491,494,620,491
492,491,494,572,491
494,492,492,473,492
493,492,493,410,493
492,490,493,377,490
493,491,492,375,0
491,492,491,494,572
491,494,492,492,473
492,493,492,493,410
493,492,490,493,377
490,493,491,492,375
492,495,490,492,382
492,494,490,494,400
490,493,490,493,449
492,493,492,492,508
491,492,491,494,579
490,492,490,495,629
490,494,493,493,628
491,492,492,494,615
491,495,493,494,527
491,493,493,493,435
491,494,492,492,396
492,492,491,491,374
492,492,491,493,374
491,494,493,492,388
490,492,491,494,419
492,494,491,493,474
491,492,491,493,535
490,492,491,492,609
490,494,491,494,630
490,492,491,491,624
493,493,493,494,580
492,493,491,493,484
492,493,491,492,414
491,492,491,494,379
492,495,492,492,373
490,494,492,492,380
492,492,492,492,397
490,494,492,492,444
491,494,492,493,501
491,493,492,493,567
489,492,491,493,627
491,494,492,492,628
490,492,492,494,616
490,492,492,495,541
491,493,492,494,445
491,493,492,492,400
491,492,492,492,375
491,493,492,494,374
491,493,491,492,384
492,492,490,492,411
492,492,491,492,466
490,493,492,493,527
490,491,491,491,604
491,494,492,494,632
489,493,493,492,625
491,494,492,492,591
491,495,492,494,495
491,494,492,492,420
490,493,492,493,383
492,493,491,493,370
491,491,491,494,378
490,492,492,494,392
492,494,491,494,436
490,492,490,492,495
491,493,492,492,559
491,494,492,492,624
492,494,490,493,630
492,493,490,493,617
490,494,494,493,555
491,493,492,492,455
491,494,491,494,403
490,493,493,494,373
490,492,493,492,374
491,495,491,493,382
490,494,491,492,410
490,492,491,493,460
491,493,491,492,519
491,492,490,492,593
492,492,489,494,632
491,494,491,494,626
490,493,489,492,601
493,493,494,493,510
490,494,492,493,425
491,494,492,492,390
491,492,492,495,372
491,493,490,493,378
490,493,492,493,387
491,492,491,494,428
490,493,491,493,486
491,492,492,493,548
489,493,491,493,617
492,494,493,493,633
491,493,493,494,622
491,494,492,492,570
493,494,492,492,468
491,494,490,492,407
490,493,492,493,374
492,492,491,492,373
491,493,492,494,381
489,493,492,495,402
489,493,493,493,452
490,493,491,493,510
489,493,491,492,583
490,492,491,491,630
491,493,491,493,627
491,492,490,493,611
492,492,491,492,525
491,494,492,493,434
490,494,491,492,395
490,493,493,494,373
490,494,493,492,380
491,494,492,492,387
491,495,491,491,420
489,492,492,492,478
491,493,492,493,539
490,492,491,493,611
490,492,493,495,632
490,493,493,493,623
489,492,490,492,579
490,494,493,493,479
492,493,492,492,413
490,493,491,492,380
492,494,491,492,372
491,492,492,493,381
489,494,490,494,396
490,495,490,492,446
489,492,491,493,503
489,492,492,494,573
489,492,493,493,628
490,492,491,494,630
491,494,491,494,615
490,492,491,492,536
491,494,492,493,442
490,492,491,493,398
491,492,491,493,371
491,495,492,492,376
490,493,492,493,385
491,492,490,492,415
490,494,492,493,471
490,493,491,492,530
491,494,491,494,604
489,492,491,494,632
491,494,492,491,625
489,492,492,495,585
490,493,493,494,494
491,493,491,493,417
491,493,491,493,384
490,493,493,493,371
490,493,491,491,380
491,494,491,492,393
492,493,490,492,438
491,493,492,492,496
489,491,491,494,561
491,493,490,492,622
490,493,492,493,631
490,494,493,493,620
491,494,493,492,552
491,494,492,493,451
490,493,492,492,401
492,493,493,493,372
492,493,492,493,373
490,492,491,494,383
490,493,492,494,407
492,493,491,492,462
490,492,491,492,521
491,492,492,492,599
490,494,493,493,633
492,493,491,493,626
492,492,492,493,597
490,492,491,494,506
491,494,493,493,421
490,493,492,494,387
489,492,492,495,374
489,493,492,493,377
491,492,491,492,391
490,494,491,494,431
