Sensor0,Sensor1,Sensor2,Sensor3,Sensor4

4493,452,491,492,491
492,402,491,495,492
492,373,492,492,491
495,374,490,492,491
494,383,490,491,491
492,406,490,491,493
491,463,490,493,489
493,522,491,493,492
493,599,488,494,491
493,634,491,492,491
492,628,492,494,493
493,596,492,495,493
493,507,492,491,492
494,421,490,494,492
492,389,491,495,491
492,373,492,494,489
492,377,489,492,491
492,391,490,494,490
495,430,490,494,492
493,489,490,494,492
492,553,491,493,491
492,621,492,493,490
493,631,490,494,493
495,622,492,494,489
494,565,491,495,492
494,462,492,493,491
493,406,491,492,491
494,372,491,491,491
492,374,492,494,492
494,383,492,494,489
493,404,489,494,492
494,456,490,492,491
493,515,490,493,492
493,586,491,492,490
493,634,491,494,490
495,628,489,494,490
495,610,494,494,492
494,519,492,495,494
494,430,491,494,493
493,393,490,493,492
494,376,491,495,490
494,376,489,493,493
494,388,490,493,494
493,426,490,493,493
493,481,490,490,492
493,543,489,494,490
493,617,490,494,491
494,633,491,493,490
494,623,491,492,491
495,576,493,494,492
494,475,491,495,493
495,411,491,493,491
493,377,493,493,494
493,374,490,494,492
493,383,491,494,491
492,402,492,492,492
494,448,491,493,491
493,508,490,493,492
494,577,490,492,491
495,629,489,492,491
495,630,489,493,492
493,615,493,495,494
495,531,491,494,492
494,437,492,495,493
493,396,492,495,493
492,375,492,494,491
493,376,492,492,493
493,386,491,488,497
493,417,490,494,491
493,474,490,496,490
494,534,489,493,491
494,611,489,492,491
494,635,491,492,490
495,623,491,495,492
492,582,491,494,494
493,485,492,495,493
494,416,492,493,492
494,380,492,494,491
492,374,492,496,492
495,379,490,494,491
493,396,490,494,494
493,443,490,493,493
494,503,491,494,491
493,570,490,492,492
495,630,491,494,491
494,633,490,494,491
494,617,492,494,492
495,542,491,494,492
494,446,492,493,491
494,400,491,495,492
493,374,490,493,493
494,376,492,493,491
492,386,491,495,493
492,414,491,492,493
493,469,490,490,491
494,526,491,495,490
493,604,492,494,492
493,636,490,493,492
494,625,490,492,493
495,591,491,494,494
494,499,493,495,492
493,418,491,494,493
494,385,491,492,492
492,372,491,492,492
492,380,492,493,490
493,392,492,493,491
493,436,489,492,490
493,495,490,494,491
493,559,489,492,492
495,623,490,492,494
493,633,491,495,492
493,622,492,496,494
495,554,490,494,493
493,456,491,494,492
494,403,491,493,491
493,373,491,493,491
493,373,490,490,492
494,383,491,495,491
492,407,489,493,492
493,462,491,493,492
493,519,490,493,493
492,597,490,490,495
492,634,491,495,491
495,627,489,493,491
494,602,491,494,494
494,508,492,493,491
494,422,491,495,491
494,388,490,493,492
495,374,492,494,492
493,378,490,492,493
493,388,491,495,492
492,431,491,494,492
493,486,491,494,493
493,551,492,494,490
493,619,489,494,493
493,633,490,492,492
493,626,492,495,492
496,566,490,494,494
494,466,490,494,491
494,407,490,493,490
493,375,492,493,493
494,375,491,493,492
493,383,491,494,492
493,403,490,494,492
493,454,490,493,491
493,512,491,492,491
492,586,490,494,490
494,630,490,494,492
492,629,491,494,492
493,611,490,494,493
494,523,490,493,493
492,430,491,493,492
492,392,490,492,491
492,373,491,495,491
492,377,491,492,492
492,386,491,495,492
492,423,491,494,490
493,476,490,493,491
494,541,489,491,490
494,614,491,493,489
493,632,491,492,491
492,624,492,494,491
493,577,490,494,493
493,477,491,494,492
494,411,490,493,490
493,377,492,494,491
493,371,491,491,492
492,381,491,494,491
494,398,492,493,491
493,448,489,492,491
493,506,491,492,490
493,573,491,491,490
493,628,490,492,491
493,632,491,494,492
495,615,491,489,494
494,536,491,496,489
492,438,491,494,491
492,396,491,490,492
492,373,493,492,492
494,377,491,495,491
494,384,490,492,492
493,417,490,493,491
493,471,490,493,490
493,532,489,493,491
494,607,489,494,491
493,633,490,494,494
493,625,491,492,491
495,585,490,495,494
493,489,490,493,491
493,416,490,493,490
493,381,491,491,494
492,372,491,492,491
494,379,492,494,491
491,395,492,495,492
492,440,490,493,492
493,499,490,491,492
493,565,491,493,492
494,624,490,493,490
493,630,491,492,491
494,617,492,493,492
495,546,491,494,491
494,450,492,494,490
494,400,491,494,493
494,374,493,492,488
492,376,491,495,491
492,384,491,494,495
492,412,492,493,491
494,464,491,492,492
491,523,492,492,494
492,603,490,491,490
494,632,490,495,491
493,627,489,492,492
495,595,493,495,491
494,501,492,496,493
494,419,491,493,491
493,386,493,495,491
492,372,492,493,490
493,378,492,492,492
493,392,490,492,491
494,432,490,493,492
493,492,490,492,491
493,555,489,492,492
494,621,489,493,492
494,634,490,494,492
494,620,491,492,494
493,562,492,493,491
495,458,492,495,491
493,404,492,495,491
493,373,493,493,492
494,373,491,492,494
492,381,490,493,493
492,407,492,492,490
494,458,490,494,490
494,516,489,492,491
493,593,490,494,490
494,631,489,494,491
493,626,489,494,493
493,603,493,493,491
495,512,492,494,492
494,425,491,493,493
494,392,493,495,491
495,372,490,493,491
494,377,490,494,491
492,390,491,495,491
492,428,491,493,492
493,484,490,493,491
493,548,490,492,491
494,617,492,492,491
493,635,491,493,493
494,622,490,495,494
496,571,491,495,495
495,470,491,494,493
494,409,492,492,492
493,376,491,493,491
493,374,492,494,491
493,381,492,491,491
492,402,491,492,490
493,452,490,491,491
493,510,491,490,494
492,584,491,493,490
495,630,490,493,492
493,629,490,495,494
493,613,491,495,492
495,525,492,496,493
493,432,491,493,491
493,394,491,494,490
491,374,491,493,490
492,375,491,492,490
494,386,491,492,491
493,421,490,492,491
493,476,490,492,492
492,539,489,491,490
495,610,490,492,492
494,634,489,493,493
494,624,492,492,489
494,581,491,493,493
494,481,491,494,491
492,413,491,494,491
491,378,491,495,492
492,372,491,492,492
495,380,491,494,492
493,397,490,495,492
494,444,490,492,490
493,502,490,492,490
494,569,489,491,492
492,629,491,491,493
493,631,490,490,492
494,616,490,495,492
494,539,493,494,492
493,442,491,495,493
493,397,492,494,493
493,373,490,494,493
494,373,490,493,492
493,385,491,492,492
495,413,490,493,491
493,468,490,491,491
494,530,489,489,489
495,605,491,495,490
492,633,489,494,491
493,626,492,493,490
493,587,493,495,493
494,493,493,494,492
494,418,491,495,491
495,381,490,495,492
493,372,490,492,492
491,380,490,490,491
492,393,489,492,489
493,439,490,492,489
493,497,491,493,488
493,561,488,493,489
493,625,489,492,489
494,630,490,493,492
494,618,490,492,496
496,551,491,494,494
494,452,492,494,492
494,401,491,492,491
493,375,491,492,491
492,375,493,491,491
492,383,492,489,491
495,409,490,487,490
493,462,491,486,492
493,523,490,485,491
495,598,489,487,491
494,633,490,491,492
494,628,490,492,491
494,599,491,498,493
495,504,491,499,493
493,422,491,500,491
492,387,492,500,490
492,371,490,497,493
493,380,490,495,491
494,388,492,496,492
491,432,490,493,492
494,490,490,493,491
493,554,488,498,491
492,621,490,496,491
494,632,490,494,490
492,620,492,494,494
495,564,493,495,492
494,461,492,494,492
493,404,491,493,492
495,372,491,495,491
493,374,490,494,493
493,380,491,492,493
492,407,490,495,490
493,456,491,494,491
492,514,491,493,492
494,589,489,492,490
494,630,491,492,490
492,627,489,491,491
495,606,491,490,494
494,517,492,491,494
493,429,491,491,491
494,392,491,492,492
494,371,489,493,492
493,379,492,491,491
492,388,493,491,490
493,425,490,492,491
493,482,490,493,492
493,545,489,490,492
492,618,491,494,492
494,635,491,497,493
491,625,492,498,494
492,575,492,496,492
495,472,491,497,491
493,410,491,497,493
494,375,492,493,491
494,372,490,491,492
494,380,490,491,492
495,402,492,492,490
494,450,490,489,491
492,508,491,493,492
492,581,490,496,491
492,631,492,497,490
492,629,492,497,493
493,614,493,495,492
494,529,492,492,496
494,434,491,497,490
495,395,491,493,492
495,372,491,492,492
493,376,490,491,491
494,385,491,491,492
492,419,490,487,491
493,476,491,484,490
493,536,491,483,489
493,609,491,485,491
495,635,489,489,490
495,624,489,490,490
493,584,495,495,494
495,484,492,496,492
493,415,491,495,492
493,381,491,492,490
495,371,492,492,491
492,380,490,494,494
493,395,491,494,490
494,443,490,494,490
492,502,490,495,491
492,569,491,496,492
494,628,490,494,491
492,629,491,495,492
491,618,490,494,492
493,542,491,495,492
494,444,490,494,492
494,398,491,494,494
