Sensor0,Sensor1,Sensor2,Sensor3,Sensor4
495,493,494,471,491
494,493,493,410,492
493,492,494,374,492
494,491,493,373,491
494,492,493,379,491
492,492,494,398,491
492,491,495,449,491
492,492,493,510,492
493,494,493,581,491
492,490,494,630,492
494,491,492,629,492
494,491,493,614,493
494,491,493,528,493
493,492,493,434,491
494,491,494,394,491
492,492,491,374,492
493,492,494,374,490
493,493,494,386,490
493,493,493,418,491
493,491,492,473,490
492,492,493,536,491
492,491,492,611,492
494,491,492,633,492
492,491,494,624,492
491,489,493,583,491
495,492,494,484,492
493,492,492,415,491
493,493,493,378,490
493,494,493,373,491
494,492,492,380,491
492,492,494,395,492
494,492,494,443,491
493,490,493,503,492
493,492,493,568,491
492,491,494,627,491
493,492,494,630,491
494,490,492,617,490
494,494,494,540,493
494,491,494,445,492
494,492,493,399,493
494,491,492,375,493
493,490,493,374,491
494,492,494,382,491
494,492,492,413,490
493,491,493,467,490
493,491,494,526,490
492,492,494,604,493
493,490,493,633,491
494,492,494,625,491
493,491,492,592,493
495,492,493,497,492
494,492,493,419,492
493,492,492,384,491
492,491,494,369,492
494,491,492,378,490
493,492,493,389,490
494,493,493,436,491
493,492,493,495,491
493,492,494,557,490
493,492,492,625,492
494,493,493,632,492
493,491,494,618,491
492,492,495,556,491
493,492,494,456,492
494,492,492,402,490
494,494,493,373,493
492,493,491,374,491
494,492,492,383,491
494,491,492,408,492
493,492,493,459,491
493,492,492,518,490
494,492,492,595,492
492,491,493,631,490
493,493,494,627,490
493,493,494,602,493
494,490,493,511,491
494,492,493,424,491
494,491,492,390,492
495,491,492,372,492
493,491,493,377,492
492,491,493,388,491
495,493,492,427,491
493,492,493,488,491
494,492,493,550,490
494,494,494,618,490
494,493,493,634,491
494,492,493,620,490
495,492,491,569,490
494,493,494,467,492
494,491,492,406,491
493,493,494,373,491
492,491,494,374,492
494,491,494,380,490
493,490,492,403,493
493,492,493,453,491
494,492,492,511,491
494,492,492,585,492
491,492,494,629,492
492,490,494,629,491
495,492,494,609,492
492,490,494,521,492
494,492,493,433,491
493,492,494,394,491
493,490,491,373,492
494,492,492,377,490
492,491,494,387,492
495,491,491,422,492
494,491,493,478,491
493,491,493,541,491
495,493,494,611,492
493,492,492,634,492
493,493,493,623,490
494,493,494,579,490
494,494,494,480,491
493,491,493,412,491
493,492,492,376,490
492,492,492,372,493
493,491,492,378,492
492,491,493,395,491
491,492,492,448,491
494,491,492,503,491
493,491,493,575,489
492,493,494,630,490
494,493,492,630,491
494,491,491,617,491
496,491,492,535,491
494,491,493,441,492
493,493,492,398,491
493,491,492,370,492
493,492,493,373,489
492,492,494,384,490
494,491,492,414,491
493,493,494,471,491
493,492,493,532,492
493,492,491,608,492
495,491,492,633,491
493,490,493,625,491
495,491,493,585,491
495,492,493,492,491
494,491,493,415,492
493,492,493,381,490
492,493,494,371,492
492,490,493,379,491
495,492,493,389,490
492,490,492,440,491
493,491,493,497,491
494,491,493,561,492
493,491,493,625,491
494,491,491,632,490
493,492,494,619,493
494,491,494,550,491
493,492,493,450,491
493,492,493,402,491
494,492,494,372,490
492,492,492,373,492
494,492,494,384,491
493,490,493,407,491
493,491,493,462,491
493,491,494,521,492
494,490,493,599,490
494,493,494,633,491
492,491,491,628,492
494,490,491,598,492
495,491,492,506,492
494,492,493,421,491
493,490,493,385,491
495,494,493,371,490
493,491,494,377,490
493,491,494,388,490
492,493,494,431,490
493,492,492,490,491
493,492,492,554,491
492,491,495,620,492
494,490,493,632,492
493,491,493,620,492
493,490,493,564,491
495,492,493,462,491
493,491,493,406,491
494,492,494,373,490
493,492,492,373,491
495,493,492,381,491
494,491,495,402,490
494,491,492,455,490
493,492,494,516,492
493,491,494,588,492
492,491,494,629,490
493,492,494,629,492
492,490,492,608,490
494,490,493,518,492
493,492,494,430,491
494,493,492,393,492
495,492,491,374,492
494,491,493,377,490
493,493,492,385,491
492,490,492,425,491
493,490,493,481,491
492,491,493,542,490
492,493,494,613,489
494,490,493,632,491
494,491,492,623,489
492,492,495,578,493
494,491,493,475,492
494,491,492,410,491
493,491,493,378,490
494,494,493,370,491
493,491,491,381,492
493,492,495,399,490
494,493,493,448,491
493,493,493,508,491
493,492,495,577,492
495,491,492,629,490
493,493,493,630,491
492,491,494,614,492
492,492,494,531,491
493,492,493,438,491
492,491,493,398,492
493,492,495,371,492
493,491,493,378,491
494,492,491,386,491
495,492,491,417,492
494,491,493,473,490
493,491,492,534,492
493,492,493,609,490
492,491,494,633,490
492,492,494,623,490
493,492,495,583,490
494,491,493,489,491
493,492,494,415,492
493,491,492,382,491
494,492,492,373,492
494,490,492,379,492
493,490,494,394,490
494,490,493,440,492
494,493,493,502,491
492,492,494,567,491
493,493,495,626,491
493,492,492,631,492
494,492,492,617,491
492,492,492,547,493
495,492,494,448,492
494,491,492,400,492
493,491,492,372,493
493,491,494,373,490
494,491,492,385,490
493,492,495,411,492
493,491,493,466,490
492,492,492,525,491
494,492,492,602,490
495,492,494,632,490
493,490,492,626,492
494,493,494,593,492
493,492,493,501,492
494,492,493,419,491
493,492,494,384,492
495,491,492,372,490
494,493,493,376,491
492,492,492,391,491
495,491,493,437,491
494,491,493,493,491
494,492,493,556,492
494,493,494,623,491
493,491,494,633,492
494,491,494,621,490
493,493,495,559,491
494,492,494,458,491
494,493,493,405,491
493,492,492,374,491
492,493,494,373,492
493,491,493,382,492
493,491,492,404,492
493,491,493,458,489
493,491,493,517,490
492,491,491,594,492
494,493,493,633,490
494,492,492,628,491
494,493,491,605,491
496,492,494,512,492
494,492,493,426,491
493,493,493,388,492
492,491,493,372,491
492,491,494,376,490
493,492,494,386,489
492,493,493,428,492
494,492,494,485,491
493,491,493,547,491
495,492,493,619,492
494,490,492,632,492
493,490,493,620,491
493,494,493,572,492
493,492,493,470,491
494,492,494,408,490
493,493,494,374,490
493,492,493,372,491
494,491,494,380,491
494,492,492,403,490
492,491,493,453,491
493,492,493,512,492
492,490,493,581,492
492,490,493,631,490
494,492,494,629,490
493,490,492,613,493
493,494,494,527,491
494,493,493,436,491
493,492,492,394,491
495,492,492,373,489
492,492,494,375,492
493,491,493,385,490
494,491,494,418,491
492,491,493,476,491
493,492,494,536,491
493,491,492,612,493
493,493,493,634,491
492,492,494,625,491
494,492,493,582,493
494,491,492,483,492
494,493,493,412,490
494,492,494,378,493
493,493,492,371,491
492,492,494,378,490
493,492,495,394,490
493,492,493,443,490
493,492,493,502,490
493,492,492,569,491
492,490,492,628,492
493,491,493,630,492
492,490,493,616,493
493,491,493,539,492
494,493,493,446,491
493,491,493,398,492
494,491,492,372,490
493,493,493,376,491
494,492,492,384,492
495,492,492,410,490
493,493,493,470,492
494,492,494,527,491
492,491,494,605,492
493,493,494,632,490
493,492,494,625,491
494,492,492,591,490
493,493,494,495,492
494,492,493,418,490
493,492,493,385,491
495,493,492,372,493
494,492,493,378,490
492,494,493,390,493
494,491,492,437,491
493,490,493,496,491
492,491,494,560,490
492,492,495,623,490
493,492,493,631,491
492,491,492,622,491
495,491,494,551,491
494,493,493,455,491
493,492,492,403,492
493,491,492,373,493
493,493,493,374,490
492,492,494,383,492
494,492,495,405,490
492,493,494,462,491
493,492,493,519,491
494,493,494,596,491
492,492,493,634,492
493,492,493,627,492
493,491,492,600,493
493,491,493,509,492
493,492,493,423,490
493,492,492,388,490
492,491,492,373,492
493,493,493,378,490
493,493,493,390,490
494,492,492,431,491
493,492,492,486,491
492,491,494,550,492
493,490,492,619,490
494,493,493,632,491
492,492,494,622,490
492,491,495,568,490
493,493,493,467,491
494,492,494,407,491
493,491,493,373,490
494,493,492,374,491
494,491,492,383,492
493,490,492,404,489
494,493,493,454,492
493,492,493,513,491
494,492,495,585,490
492,492,495,632,489
493,492,493,630,491
494,491,495,609,491
494,493,493,524,491
494,491,493,431,491
494,491,492,393,492
493,491,492,374,492
492,491,493,376,491
492,492,492,387,491
495,491,495,422,490
493,492,492,479,490
492,495,493,542,490
493,492,493,614,490
494,491,492,633,490
492,492,495,625,492
493,491,495,577,490
494,492,493,477,492
493,492,493,412,491
492,492,494,376,491
492,492,492,373,492
493,493,494,381,492
492,491,493,399,490
494,492,493,448,491
494,492,493,507,492
493,492,493,574,490
493,493,493,628,492
492,492,492,631,492
492,492,494,614,490
493,492,495,535,491
493,492,494,441,491
493,492,493,397,491
493,492,493,374,490
494,493,494,374,490
492,492,493,384,491
493,491,492,416,492
492,491,492,472,491
493,492,494,530,490
492,491,494,606,491
494,491,492,633,490
492,493,493,625,490
494,494,493,587,490
494,494,493,489,491
493,492,493,416,491
493,492,494,381,490
494,491,493,370,491
491,492,494,378,491
492,491,494,390,490
494,491,492,440,490
492,492,493,501,491
493,490,493,564,490
493,493,492,626,491
493,492,492,632,492
493,491,492,618,493
494,494,494,549,491
493,493,493,451,491
493,492,492,398,490
493,492,495,371,490
493,492,495,374,491
493,493,493,382,491
493,491,493,411,491
493,490,494,463,491
493,492,492,523,491
494,491,493,600,492
493,491,493,633,492
494,492,492,627,490
492,493,495,599,493
494,491,494,503,491
493,492,493,420,490
493,493,493,388,490
494,493,492,370,490
492,491,492,379,491
492,493,494,390,493
494,490,492,432,491
493,491,493,490,491
492,491,494,553,490
492,490,495,622,491
493,490,494,633,490
493,490,493,620,491
494,494,492,564,491
494,493,493,462,491
493,492,492,406,491
493,493,494,372,492
493,491,493,374,491
494,493,494,380,490
492,494,495,403,490
493,492,494,457,490
492,491,492,515,491
493,493,493,592,490
493,491,495,631,492
494,491,492,627,492
493,491,493,608,493
493,491,494,518,491
494,493,493,428,491
493,491,493,393,492
494,491,494,371,490
493,492,493,377,489
492,494,492,388,491
494,493,491,426,491
493,492,493,481,491
494,492,493,544,490
493,492,493,615,492
492,492,494,632,490
491,492,495,623,489
492,492,492,577,492
494,493,494,472,490
493,492,493,411,490
494,492,492,376,490
494,493,492,373,491
494,491,492,381,489
493,492,495,399,493
493,492,493,450,490
492,492,492,507,491
493,492,494,577,490
492,493,495,630,490
493,490,493,628,492
494,493,492,615,492
491,491,495,531,492
494,491,493,436,491
494,492,493,396,492
493,491,492,374,492
492,491,492,376,491
494,492,494,384,490
495,491,492,418,490
493,491,493,474,491
493,492,494,536,490
493,492,493,611,491
492,491,494,634,491
493,491,494,625,489
493,490,492,582,493
493,492,493,486,492
494,492,493,415,491
492,491,492,381,492
492,493,494,371,492
492,491,494,380,491
494,492,492,395,490
495,492,493,442,491
494,493,493,501,491
493,492,493,566,493
493,493,494,627,491
492,492,494,629,490
493,492,494,616,490
493,493,495,544,490
493,492,494,448,491
494,491,493,399,491
495,493,494,371,491
492,492,492,375,492
494,491,493,383,491
492,491,493,412,491
491,494,493,466,490
493,491,493,525,491
494,490,492,603,489
492,492,494,633,490
493,493,493,628,491
494,493,493,590,491
492,492,492,499,491
494,493,493,420,490
493,491,493,384,492
493,490,492,371,491
492,492,494,377,490
494,491,493,392,490
493,493,494,437,491
493,491,493,495,491
493,492,492,559,490
495,493,492,624,491
494,492,493,632,491
493,493,494,620,490
493,491,493,557,491
494,493,494,455,492
493,491,494,402,490
492,492,495,372,489
492,492,494,374,492
492,491,492,383,491
494,491,494,405,489
492,493,492,460,491
493,492,493,518,491
493,490,493,594,492
493,493,493,634,490
493,492,494,629,491
493,491,495,601,490
492,493,494,512,491
493,493,494,426,489
493,492,494,389,491
492,492,492,373,491
493,492,495,378,492
493,490,493,387,493
493,490,493,426,491
492,492,494,486,490
492,492,494,550,492
494,491,494,617,489
493,491,494,633,491
494,492,492,623,491
495,493,492,573,491
495,493,494,470,491
493,492,494,408,491
494,491,493,376,489
493,492,494,371,490
492,491,494,380,489
492,492,495,400,489
491,493,493,453,491
491,492,493,510,490
490,491,494,583,490
491,492,492,631,492
491,491,493,628,492
491,491,494,613,490
493,494,494,524,492
494,492,493,434,490
494,492,494,394,490
493,492,495,372,490
494,493,493,377,490
495,493,492,388,490
494,491,494,418,491
496,492,493,477,491
494,492,493,540,492
493,491,493,611,492
492,492,494,633,490
493,491,492,625,492
494,492,495,579,490
494,492,493,483,491
494,491,493,413,491
494,493,492,379,490
495,493,492,373,489
493,492,494,379,492
493,491,494,396,489
493,491,494,445,491
493,491,493,503,491
492,492,495,570,489
492,491,493,629,492
493,492,493,631,491
492,491,494,619,491
495,492,493,539,492
494,492,493,443,491
494,492,493,398,492
493,491,495,373,490
494,491,494,372,490
495,491,494,386,491
493,492,495,412,490
494,493,493,469,491
494,494,493,529,491
493,492,494,607,491
496,491,495,633,489
493,490,494,626,491
493,490,493,587,492
494,492,494,494,492
494,493,494,419,491
494,492,494,382,492
495,491,493,372,490
493,492,493,380,491
494,492,493,391,490
495,492,492,437,490
492,491,493,496,491
493,492,494,561,489
491,489,493,625,491
491,491,495,630,490
490,491,494,618,490
490,494,496,553,492
493,492,493,453,492
493,492,494,402,490
492,492,492,376,491
495,492,492,374,492
495,491,493,383,491
494,493,494,409,490
493,491,494,462,490
494,492,493,521,490
493,493,495,598,490
493,494,493,633,490
495,493,493,626,490
492,492,492,601,492
495,494,494,507,491
494,492,494,423,491
493,491,493,387,491
493,491,494,371,490
494,491,493,380,490
493,492,493,388,492
492,491,494,433,490
492,493,493,489,491
492,494,492,552,491
495,491,492,621,492
494,492,494,633,490
492,491,494,619,491
495,494,493,565,491
493,491,494,464,491
494,492,494,406,490
493,493,495,376,493
493,491,493,374,491
495,492,494,381,489
494,491,492,406,492
494,490,493,455,491
493,492,494,514,490
493,493,493,590,491
492,490,494,632,492
494,491,495,630,489
493,492,493,609,490
494,494,493,522,491
494,493,494,431,491
493,492,494,394,491
493,490,495,372,492
494,491,494,376,492
493,492,494,386,491
494,491,494,422,489
493,492,494,482,490
493,491,494,543,489
493,491,493,616,491
494,492,493,636,491
495,492,492,624,491
494,492,493,579,492
493,493,495,477,492
493,491,492,411,490
494,493,495,376,491
491,492,494,372,490
492,492,494,381,490
492,492,494,399,493
491,492,493,449,491
492,492,493,506,490
493,491,493,579,492
493,491,492,629,492
492,491,493,629,491
494,493,492,615,491
492,491,493,535,492
494,493,495,440,491
492,492,494,397,490
493,493,493,373,490
493,492,493,376,491
492,492,495,385,492
493,490,492,415,490
492,492,493,473,491
493,490,493,532,491
492,491,494,607,490
491,493,493,635,492
491,494,494,626,490
491,491,493,585,490
495,492,493,490,491
493,491,493,416,491
492,491,492,382,490
489,492,494,371,492
489,491,493,381,491
492,492,495,392,491
490,492,495,441,491
492,491,493,499,490
492,492,494,565,491
495,493,493,629,491
495,491,494,632,491
494,490,493,619,492
494,490,493,548,492
494,492,493,449,491
493,491,494,402,491
493,492,494,371,490
492,491,493,374,490
491,493,493,385,491
491,492,493,410,490
492,492,493,464,491
490,492,494,524,491
491,491,495,600,490
489,491,494,633,491
490,492,495,626,491
490,492,495,593,491
490,492,494,505,492
492,492,494,421,492
493,491,493,387,491
495,493,493,373,491
498,491,492,379,492
498,491,492,389,489
496,494,493,433,491
494,492,494,492,490
493,492,495,556,490
491,492,496,622,490
491,492,494,633,490
490,495,492,622,490
487,492,495,564,492
491,492,495,459,491
491,492,493,405,491
492,491,493,374,492
491,491,493,371,490
490,492,493,384,491
492,492,495,405,493
494,491,493,458,490
492,492,494,516,490
493,493,493,593,491
494,492,492,631,490
494,492,493,629,492
496,492,492,606,489
496,491,494,516,491
495,491,493,429,491
495,491,494,390,490
496,492,492,375,490
494,494,493,376,492
490,492,493,388,491
493,493,493,429,491
487,492,493,484,491
484,492,493,545,491
481,494,494,618,490
484,492,495,631,492
487,491,493,623,490
490,493,496,574,491
493,493,495,473,491
495,493,494,410,490
496,491,493,378,491
499,491,494,371,489
497,491,494,381,490
495,490,493,400,491
495,491,493,450,491
495,492,493,510,491
495,491,494,582,492
492,491,494,630,490
486,493,493,630,492
485,492,492,615,492
487,492,496,527,491
487,492,495,436,492
488,492,494,395,492
490,491,494,372,491
493,492,495,376,489
496,492,495,386,490
495,493,495,419,492
492,492,495,476,491
492,491,493,536,490
495,491,493,614,491
498,490,493,635,492
496,492,493,624,492
494,495,492,584,492
492,493,493,485,491
493,492,494,413,490
492,493,494,381,490
493,492,494,373,491
498,492,495,379,490
497,492,492,398,491
498,492,494,443,491
498,492,493,502,491
494,490,493,568,491
493,490,493,627,491
495,492,493,631,490
492,493,493,618,493
491,494,494,542,491
