Sensor0,Sensor1,Sensor2,Sensor3,Sensor4
494,492,494,641,491
494,493,493,632,491
494,493,492,575,491
495,493,494,467,491
494,492,492,406,492
493,492,494,366,493
493,491,493,365,491
492,491,494,372,491
493,491,494,394,492
494,491,492,450,490
492,492,493,513,491
493,492,493,591,490
493,493,493,639,491
493,491,491,637,492
494,493,494,618,490
493,490,493,526,491
493,492,493,430,491
493,492,494,389,491
492,491,495,365,490
492,492,493,369,492
493,491,493,380,491
494,490,493,415,491
494,492,492,478,490
493,491,493,545,491
493,489,492,621,492
493,490,493,640,491
494,492,493,633,490
492,491,492,587,493
495,493,494,478,491
493,491,493,410,490
493,493,493,373,489
494,491,494,363,490
494,491,492,374,490
494,493,495,391,493
493,491,494,444,492
493,492,493,505,492
493,491,495,580,491
495,492,496,637,491
494,491,494,639,493
495,493,493,626,491
495,494,493,541,492
495,493,494,440,492
493,492,494,392,492
494,491,493,366,490
494,493,494,365,491
492,492,494,376,490
491,491,495,408,491
493,491,493,468,491
494,491,493,534,492
493,492,493,615,493
492,492,494,643,492
495,492,492,635,493
494,491,492,595,494
495,492,493,491,491
494,492,493,415,492
492,492,492,377,492
492,491,494,363,490
493,492,495,371,490
494,493,494,385,490
494,491,493,435,491
493,493,494,499,492
493,492,492,570,492
495,492,493,635,493
494,491,493,640,493
493,490,493,628,490
495,491,494,551,492
494,492,493,449,491
493,492,494,397,491
493,493,495,367,490
493,493,493,368,491
494,492,492,373,491
492,492,492,405,492
494,492,494,460,491
493,491,492,524,491
492,490,493,606,492
492,490,495,640,491
495,492,492,636,490
493,493,496,604,493
494,491,493,504,491
493,492,493,420,490
494,492,492,384,492
495,492,495,364,490
494,491,493,371,492
494,493,493,382,492
492,491,494,428,490
492,491,493,491,491
493,491,494,558,492
493,490,491,628,490
493,492,494,641,491
492,491,491,631,493
495,493,491,569,493
495,493,494,462,492
494,492,493,404,492
494,494,494,368,493
492,491,494,367,492
495,492,495,373,490
493,493,496,398,490
493,493,495,455,491
493,492,493,516,491
493,493,494,599,492
492,491,495,640,492
495,492,493,637,493
494,492,494,616,494
494,491,493,519,492
494,493,493,426,491
492,492,492,389,492
495,491,495,364,490
493,493,494,370,490
493,493,493,381,490
494,490,494,419,491
494,492,493,483,490
492,491,494,550,492
493,490,492,623,493
492,492,494,641,491
492,492,495,631,491
493,492,492,581,493
495,494,494,472,492
494,492,493,407,491
495,494,493,371,490
496,493,493,367,491
494,491,492,374,490
493,492,495,394,493
492,491,493,447,491
493,492,493,509,492
493,492,494,584,490
491,492,496,638,490
494,491,493,637,492
494,493,493,624,492
492,491,495,532,492
495,494,493,434,491
495,492,493,393,492
494,491,492,366,491
494,494,493,368,492
493,493,493,380,491
492,492,495,413,490
492,492,493,473,490
492,492,494,541,490
492,492,494,617,492
492,491,493,643,491
494,492,495,634,490
493,491,492,589,493
494,492,493,485,492
493,492,492,412,491
493,493,492,375,491
492,491,494,363,492
494,491,492,371,490
494,493,493,388,489
494,493,493,440,490
493,492,493,501,492
493,492,493,576,492
494,493,495,636,491
493,491,494,638,491
492,492,495,625,492
493,492,496,544,491
495,494,493,444,491
493,492,493,396,492
493,490,493,366,490
494,493,492,368,491
495,492,492,377,491
494,491,492,408,492
494,492,494,464,491
493,491,493,529,490
493,492,493,609,491
493,492,495,640,491
493,493,495,635,490
493,493,495,598,493
494,491,494,497,491
493,492,493,417,492
494,491,492,379,491
496,492,492,365,492
494,492,494,372,493
494,493,493,383,492
492,491,494,434,491
493,492,494,495,491
493,492,494,563,490
492,493,495,631,490
493,492,494,639,491
492,492,491,629,491
492,492,496,558,492
494,492,493,453,492
494,492,492,400,491
493,491,493,368,492
492,491,494,367,491
494,492,494,374,489
493,491,492,402,492
493,493,493,458,490
493,492,494,521,490
494,493,493,604,491
492,492,494,639,492
493,491,493,637,490
494,493,493,606,493
493,492,494,509,492
494,493,494,422,491
491,492,492,385,493
495,493,495,365,490
493,491,494,369,491
494,493,492,382,490
495,493,492,426,491
494,493,492,486,490
493,491,493,553,491
493,491,494,626,490
494,491,494,639,491
493,492,494,628,489
492,493,495,571,490
493,493,494,466,490
494,491,492,403,491
494,493,492,367,491
491,492,491,366,492
494,491,492,374,492
493,491,492,397,492
492,490,493,452,490
493,492,493,513,490
493,491,492,595,489
492,492,493,638,490
