Sensor0,Sensor1,Sensor2,Sensor3,Sensor4

493,369,491,494,492
491,378,492,494,491
491,406,492,494,491
2,492,398,492,493
492,494,366,493,493
491,493,369,491,494
492,491,378,492,494
491,491,406,492,494
491,493,464,491,493
3,492,494,366,493
493,491,493,369,491
494,492,491,378,492
494,491,491,406,492
494,491,493,464,491
493,492,492,527,491
492,492,492,608,491
492,492,494,639,490
493,492,493,632,491
494,493,494,596,490
493,492,493,499,491
494,492,492,415,492
493,492,492,381,493
495,491,492,365,493
493,491,493,370,492
492,492,492,386,491
495,490,494,431,491
493,491,492,493,490
492,492,493,562,490
492,492,493,629,491
494,492,492,638,491
494,492,492,626,490
492,492,491,561,493
494,492,494,454,491
493,491,493,400,492
492,491,493,367,492
492,491,494,365,489
493,490,493,377,490
493,493,492,400,492
492,491,492,458,491
492,491,492,520,491
493,491,491,600,492
494,491,493,638,490
493,490,493,632,491
494,492,492,607,491
492,492,494,512,492
493,492,493,422,492
493,492,493,385,493
493,491,492,368,491
495,492,494,369,490
492,491,492,382,492
493,490,492,426,492
493,491,492,484,492
493,491,492,551,491
493,492,492,625,491
492,491,494,639,492
493,491,493,631,491
493,493,493,574,492
494,492,492,466,491
493,493,493,404,491
493,491,491,370,493
492,493,493,366,491
492,491,493,374,491
492,491,494,395,491
492,491,493,450,491
493,491,493,512,491
492,492,492,589,492
492,493,493,638,491
494,490,492,636,493
493,491,492,619,493
494,494,494,525,491
493,491,494,432,491
494,492,492,389,491
493,492,495,367,491
493,493,493,371,491
493,492,492,380,491
494,493,494,416,490
492,491,492,477,491
492,491,493,543,492
492,490,493,619,493
492,491,493,640,491
493,492,494,629,492
493,491,492,582,491
493,493,492,479,492
494,492,493,410,491
493,492,492,375,490
495,493,492,366,492
494,492,494,373,490
493,490,492,391,489
494,492,492,443,491
493,491,493,505,491
492,491,494,576,490
492,492,494,634,491
493,491,492,639,491
494,491,494,621,491
495,492,492,539,492
494,492,493,441,492
493,491,492,394,492
493,491,493,367,490
494,492,492,368,490
493,493,493,379,492
494,493,494,410,490
493,492,493,469,491
493,492,493,533,490
494,491,494,611,490
494,490,492,640,490
494,493,493,632,491
492,490,493,590,492
493,491,493,491,492
493,492,493,416,491
494,491,494,377,490
492,490,493,365,492
494,492,493,374,491
494,491,492,389,491
495,490,492,436,491
493,491,493,498,491
493,490,493,568,489
493,492,494,629,490
491,492,494,637,490
492,492,493,626,490
493,494,495,552,491
494,492,493,450,492
494,493,492,398,491
493,492,495,369,493
494,491,493,367,492
493,490,493,375,492
492,490,493,406,491
493,491,493,462,491
492,491,491,524,491
492,492,494,605,490
493,492,492,640,491
494,491,492,633,492
493,493,495,599,493
494,490,492,502,491
493,492,493,418,492
493,492,493,381,492
492,490,493,364,491
492,492,492,372,492
493,493,493,384,490
492,490,492,428,491
493,492,494,491,491
493,491,492,559,492
493,490,491,627,492
492,490,493,639,491
494,492,494,627,490
492,492,491,568,492
494,492,494,459,491
493,492,494,403,491
494,493,493,369,490
492,492,494,366,492
495,491,492,374,489
493,492,492,400,492
492,490,493,455,492
493,491,493,516,491
492,490,492,596,491
494,492,494,638,490
493,490,493,633,491
494,492,492,613,491
495,492,492,518,491
494,493,493,426,490
493,492,494,388,492
493,490,494,367,490
494,491,494,368,491
492,491,494,381,490
491,491,495,421,490
492,491,494,482,490
493,491,493,550,491
494,492,493,620,491
493,492,492,641,492
494,490,492,631,493
493,490,492,579,493
494,492,493,472,491
493,492,493,408,491
494,492,492,372,490
492,493,494,367,490
493,493,493,375,491
494,492,492,396,491
492,491,493,449,491
493,492,493,508,490
493,491,492,586,491
492,490,493,635,491
491,491,493,635,490
492,491,492,623,492
492,493,495,530,492
494,492,492,433,490
492,492,493,393,491
494,493,492,369,491
494,491,491,369,491
494,490,494,379,489
492,490,492,414,492
493,492,493,474,491
492,490,493,538,490
491,491,494,615,490
492,492,494,640,491
492,491,494,634,491
495,493,494,585,491
493,493,493,484,492
493,492,492,414,492
493,491,493,375,494
493,494,493,367,491
492,492,495,372,492
494,490,492,388,489
492,492,494,441,490
492,491,493,502,491
493,492,492,571,490
491,491,492,635,492
493,492,494,636,490
493,490,493,624,493
493,490,493,543,492
493,492,493,443,492
493,491,493,395,491
494,491,492,367,490
493,492,493,367,492
492,493,492,379,491
494,492,492,409,491
494,490,492,466,491
493,491,494,528,490
492,490,493,609,490
494,492,492,638,490
492,492,495,633,490
492,492,495,594,491
493,493,494,497,492
494,492,494,417,491
494,491,494,377,491
495,493,492,367,493
493,491,493,373,493
493,491,492,384,492
494,492,492,434,491
492,491,493,495,491
493,491,494,563,489
491,492,495,629,490
493,493,493,640,491
494,493,492,627,491
495,491,495,556,491
494,492,493,454,491
493,492,493,400,492
493,491,492,370,493
492,490,493,366,491
492,491,493,377,491
494,492,494,401,490
492,490,492,459,491
493,492,494,521,490
493,492,492,604,491
494,492,492,639,492
493,492,494,634,492
493,490,493,606,491
494,494,494,508,492
493,492,493,424,491
493,491,494,384,490
493,492,492,367,492
493,493,494,372,491
492,491,493,380,491
495,492,491,428,491
494,492,493,487,491
493,491,493,554,493
493,490,493,625,489
494,493,495,638,491
493,492,493,631,493
493,494,496,572,491
494,493,494,466,492
493,493,493,405,491
493,492,494,368,491
495,493,492,366,491
493,493,492,376,492
493,490,493,398,493
492,491,493,453,492
494,492,494,514,492
494,492,495,591,490
494,491,493,638,490
494,493,493,637,491
494,493,492,618,492
496,493,493,525,492
495,493,494,430,492
494,492,493,390,491
494,492,493,366,491
492,492,495,370,491
493,493,495,381,491
493,492,494,418,490
493,491,492,479,491
493,493,493,545,491
492,491,493,622,492
494,491,493,641,492
493,490,493,631,493
493,491,493,583,491
494,492,493,477,493
494,492,493,410,491
493,493,495,372,490
492,492,494,367,491
494,492,493,375,491
492,492,494,396,492
495,492,494,445,492
493,491,493,507,491
493,491,493,580,492
492,490,493,634,492
493,492,492,637,493
493,493,495,623,494
495,491,493,535,492
494,493,494,438,492
494,493,493,394,492
495,493,492,369,492
495,491,494,368,491
493,491,494,379,493
494,493,493,412,491
493,492,493,471,492
493,491,493,535,491
492,491,494,611,492
493,491,493,641,491
494,492,493,632,491
492,493,493,591,493
496,493,493,491,492
494,492,492,415,492
494,492,493,376,490
493,491,493,366,491
495,493,492,370,491
493,493,494,385,489
491,492,494,438,490
492,491,493,499,492
493,492,492,571,491
494,491,494,631,490
494,492,493,637,492
493,491,493,625,493
493,491,494,550,494
494,493,493,449,492
494,493,493,398,491
494,493,492,370,494
494,494,494,368,492
495,493,493,378,492
495,492,492,407,492
494,492,493,461,491
493,491,493,526,491
493,493,493,605,493
493,492,494,638,491
492,491,495,632,490
492,492,495,601,493
495,492,494,502,491
493,491,493,419,492
494,493,492,382,491
495,494,493,367,492
495,491,492,372,492
493,492,493,383,493
493,491,493,431,491
493,492,493,491,492
493,492,494,557,490
491,492,495,627,490
493,493,493,640,491
495,492,494,626,491
496,494,493,567,491
493,493,494,458,492
494,492,492,402,492
493,492,494,369,494
493,491,494,368,492
494,492,494,375,490
493,490,492,401,493
493,493,493,455,491
493,493,494,518,491
493,492,492,598,491
492,491,494,636,492
494,492,494,636,491
494,493,494,610,493
493,492,494,515,491
493,492,493,425,491
493,492,493,388,493
495,493,496,366,490
492,491,494,371,491
494,492,491,382,491
495,492,492,424,493
494,492,493,484,491
493,491,493,549,490
493,492,493,621,492
492,492,493,641,493
494,493,494,629,490
493,494,495,577,491
493,493,494,471,492
494,491,493,405,491
495,492,492,369,491
492,492,492,366,493
493,491,493,373,491
492,491,493,395,491
491,490,492,449,491
493,491,493,510,490
492,490,492,588,490
492,493,493,636,491
494,492,492,637,492
494,492,492,621,491
492,492,494,528,492
494,493,493,433,491
492,491,492,389,492
492,491,493,366,490
492,492,494,369,490
492,493,494,380,490
493,490,492,414,490
493,492,493,476,491
493,491,492,541,492
493,490,491,618,492
493,490,493,640,492
492,491,491,632,492
495,491,495,583,491
494,492,493,483,492
494,492,494,411,491
494,493,493,375,490
494,494,492,368,491
492,492,494,374,492
494,491,494,390,490
493,490,492,441,492
492,492,493,502,491
492,491,493,574,489
491,491,491,634,492
493,493,493,637,491
491,491,494,626,491
495,493,492,541,491
494,493,493,441,491
494,492,492,396,492
493,490,494,366,489
493,491,494,367,490
494,491,491,379,490
492,492,494,406,490
493,492,493,467,491
493,492,493,531,491
491,490,493,611,490
494,492,494,640,490
493,490,493,632,493
492,491,493,593,493
493,492,494,495,492
493,492,492,416,491
493,492,494,378,492
494,491,492,366,490
494,493,492,372,491
494,493,492,386,491
494,491,492,433,490
492,491,492,495,491
493,492,493,565,490
491,490,492,628,491
492,491,493,636,490
492,493,494,625,490
492,493,495,556,493
493,491,492,451,491
493,493,492,399,491
492,492,491,369,491
494,491,492,367,492
493,490,493,377,492
492,493,492,403,490
492,491,493,459,491
492,491,492,521,490
492,492,494,602,489
493,493,492,639,491
494,492,492,633,490
492,492,492,605,492
495,494,494,508,491
494,492,493,420,492
493,491,494,382,492
492,491,494,366,490
494,490,492,372,490
493,493,493,381,492
491,490,493,429,490
493,491,492,486,490
493,492,492,556,491
494,491,492,626,492
493,493,493,639,491
492,491,493,627,491
494,492,492,567,491
493,492,493,462,491
493,492,494,404,491
493,492,494,370,493
493,491,491,368,491
494,492,493,374,490
493,490,491,399,492
493,491,492,452,491
494,492,493,514,491
493,491,492,593,490
492,491,494,638,491
493,491,493,635,490
494,493,492,614,490
494,494,493,521,491
494,493,493,429,491
493,492,492,388,492
493,493,496,366,492
492,491,494,369,491
493,492,494,379,490
492,491,494,419,490
492,491,494,480,491
493,490,493,545,490
492,490,493,621,492
493,492,492,640,492
495,491,492,630,492
493,492,492,583,493
