Sensor0,Sensor1,Sensor2,Sensor3,Sensor4

9491,492,382,489,492
492,494,430,490,493
492,492,492,490,493
492,492,560,490,491
491,492,631,492,494
492,493,640,490,492
491,493,628,491,492
490,493,561,491,493
491,492,456,490,494
492,493,402,492,494
491,492,367,490,493
493,494,365,491,493
493,492,376,492,494
491,491,402,492,494
491,493,456,491,493
492,493,518,490,492
490,492,597,490,494
493,492,639,490,492
492,493,636,490,494
493,493,610,490,493
494,493,513,492,494
492,493,423,491,494
492,493,384,491,495
492,491,367,492,495
490,492,369,493,494
491,493,379,492,494
493,492,425,491,493
490,493,484,490,494
491,494,552,489,492
492,493,624,490,494
492,492,641,491,494
492,492,631,491,495
492,495,573,490,494
492,492,468,491,493
493,494,406,491,492
490,493,367,491,492
491,493,364,490,493
493,494,374,492,493
490,494,395,489,494
491,492,449,490,493
491,492,512,491,493
490,491,588,491,494
491,492,636,491,494
492,493,638,491,492
491,493,620,491,495
493,495,525,491,493
491,493,431,491,493
492,493,390,490,494
494,493,365,491,492
492,492,370,492,493
493,494,378,492,494
490,493,416,492,493
491,492,476,491,493
491,492,540,490,491
491,494,620,491,493
491,494,640,490,494
491,493,632,492,494
493,493,586,492,495
492,492,479,491,494
492,492,410,491,493
493,494,372,493,495
490,492,364,490,494
493,494,371,490,492
491,494,389,490,492
491,493,440,490,492
491,492,505,491,492
492,492,577,490,492
490,493,634,491,494
491,492,639,492,493
490,492,624,493,494
491,492,539,490,494
493,493,441,491,493
490,492,393,491,495
493,495,365,489,494
492,493,368,491,494
492,492,377,491,494
493,492,409,491,492
491,493,467,491,493
491,492,532,490,493
493,493,613,492,492
491,494,640,491,493
491,494,632,489,493
493,492,596,493,494
493,493,492,491,494
492,492,415,490,494
492,492,378,492,495
493,491,365,492,494
491,492,370,490,493
493,494,385,493,493
490,492,434,490,494
491,493,497,490,492
491,493,565,490,492
492,493,630,490,493
491,493,639,491,494
493,491,629,491,493
492,494,554,492,494
492,492,450,491,494
491,492,398,491,493
491,492,365,493,493
492,492,368,491,494
491,493,373,490,495
492,492,404,490,493
492,493,461,491,493
491,493,522,491,494
492,492,605,490,492
492,494,641,492,494
490,493,634,491,494
491,493,602,492,492
491,493,505,491,494
491,492,418,491,493
492,493,383,493,493
493,494,365,492,493
492,494,372,492,494
492,492,382,492,495
490,492,427,492,493
491,492,488,490,492
492,493,556,491,491
492,491,627,491,492
492,494,640,490,493
492,494,629,491,493
493,494,568,491,494
493,494,460,492,493
491,493,403,491,494
491,494,365,490,492
491,492,365,491,492
490,492,373,491,492
491,493,396,491,493
491,492,455,491,493
491,493,516,491,493
490,492,597,490,493
493,492,641,492,494
491,491,636,492,494
491,491,613,490,492
494,492,518,493,493
492,493,425,490,493
491,493,387,490,492
491,494,366,490,493
492,494,369,490,493
491,493,380,490,494
493,492,420,491,492
491,493,482,490,493
492,492,551,491,493
490,491,623,493,493
491,493,640,491,492
493,492,634,492,492
491,495,577,493,495
493,493,472,492,494
493,494,408,492,494
494,493,371,491,495
493,493,364,491,494
493,492,374,493,495
493,495,392,490,493
491,493,447,491,493
491,493,509,492,493
491,493,582,490,494
492,492,638,489,493
492,493,637,492,492
491,493,624,491,495
494,493,532,491,494
493,492,434,490,494
493,493,391,491,493
491,492,368,492,493
493,494,367,492,494
491,493,378,493,493
490,493,413,492,493
491,493,473,492,494
492,492,539,491,494
492,494,615,492,492
492,492,642,493,493
494,494,634,490,494
493,494,589,491,495
493,493,485,491,494
493,494,412,492,494
492,492,373,490,493
493,493,365,493,493
492,493,372,492,493
492,494,386,491,492
492,492,441,491,494
492,494,503,491,493
491,493,573,490,494
494,493,637,492,494
492,493,640,494,495
490,492,627,490,494
494,495,545,493,494
492,494,442,492,494
492,493,395,491,493
492,494,365,491,493
493,494,367,490,493
492,493,376,490,492
490,493,405,490,494
492,493,465,491,493
491,493,531,491,493
490,492,611,492,494
491,493,641,492,493
491,492,635,491,494
491,494,594,492,496
492,492,497,491,494
492,493,416,491,493
493,493,380,491,493
493,493,364,491,493
492,494,373,492,494
490,493,382,490,492
490,493,432,492,493
491,493,496,491,493
491,493,562,491,492
491,492,632,492,493
493,494,641,492,493
490,493,629,491,495
494,493,560,492,495
492,493,454,491,494
491,492,400,492,494
491,494,367,490,493
491,493,365,492,495
493,492,375,490,493
492,495,400,490,493
492,494,457,491,492
491,493,520,491,492
490,493,605,490,494
492,493,639,491,493
491,492,637,492,493
490,492,609,493,493
491,493,511,492,494
492,493,422,491,493
491,494,384,492,495
492,491,364,490,493
493,494,371,490,493
492,493,382,490,494
492,492,423,490,492
491,493,486,491,493
491,493,554,490,492
490,492,626,492,492
491,494,640,491,492
492,494,630,491,492
492,495,572,493,494
492,493,466,491,493
493,492,405,492,494
493,493,369,491,494
492,492,367,492,494
490,492,374,493,494
494,494,397,490,492
491,492,451,490,494
491,492,512,491,492
492,494,590,490,492
492,494,638,490,493
492,492,635,491,492
492,491,620,491,495
491,494,521,491,494
492,493,429,492,494
492,492,389,492,494
490,492,366,492,494
493,491,370,490,492
492,494,380,492,495
491,494,416,490,492
492,493,478,491,492
492,493,546,490,493
492,492,621,491,495
492,493,640,490,493
490,493,632,491,493
494,494,582,492,493
492,493,476,492,494
492,493,409,491,493
492,493,372,492,495
491,494,366,491,494
491,493,371,492,494
493,491,393,491,494
491,492,444,491,494
492,492,506,492,493
493,493,579,491,492
491,493,637,492,494
492,494,636,490,493
493,494,623,490,493
494,494,537,490,493
492,492,436,491,494
493,493,393,491,492
492,494,364,491,495
491,492,367,492,493
492,493,377,492,493
491,492,409,492,492
491,492,470,490,493
492,493,535,490,492
490,491,615,492,493
493,493,642,491,494
493,492,635,492,494
492,491,593,492,493
492,494,489,492,494
492,492,412,491,493
492,492,374,492,492
491,493,363,490,492
492,494,371,490,493
492,492,387,493,494
493,493,437,490,492
491,493,499,490,493
491,492,570,491,494
491,492,634,492,493
491,493,639,492,494
493,492,625,491,492
491,492,551,492,494
492,493,446,491,493
492,493,396,491,493
493,494,367,490,494
493,492,367,492,493
492,494,373,492,494
491,492,403,490,493
492,492,462,491,493
491,492,526,491,492
490,493,605,491,492
491,492,641,491,494
493,494,635,490,492
490,492,600,490,495
494,492,501,491,494
493,493,420,491,493
491,492,382,490,492
492,495,364,492,493
491,492,372,490,494
492,493,380,491,492
492,494,429,490,492
491,493,492,490,492
491,492,559,492,493
493,493,630,490,491
491,494,641,492,494
491,492,630,493,495
491,492,565,493,493
492,492,459,492,494
491,492,402,491,494
492,494,366,490,495
491,492,366,491,494
494,493,375,490,493
493,493,401,491,494
491,492,455,491,493
491,493,518,491,493
490,494,598,490,493
490,493,638,491,492
492,494,634,491,492
492,494,611,490,492
491,492,516,492,493
493,493,424,492,493
491,493,387,492,495
493,492,365,491,495
491,493,370,493,494
491,492,380,490,493
493,492,421,491,492
492,492,484,491,492
491,493,549,490,491
492,494,622,490,493
493,493,642,491,494
492,492,632,491,492
491,494,578,492,494
492,494,469,492,494
491,492,405,492,493
491,492,368,493,493
491,493,364,491,492
492,491,374,492,492
492,494,394,493,493
490,492,448,490,493
492,493,510,490,493
492,492,588,491,494
492,492,636,490,493
493,493,637,493,493
494,493,621,491,493
491,494,526,492,494
492,494,432,491,493
492,494,391,491,494
491,491,368,491,494
493,492,368,491,492
491,492,379,492,495
492,491,416,491,494
491,493,475,491,493
491,492,541,492,492
493,493,618,490,492
491,493,640,492,494
491,491,631,489,493
492,495,584,489,493
493,494,481,491,493
491,493,410,491,493
491,491,374,490,494
490,493,364,489,493
490,491,372,492,493
490,492,389,492,492
490,492,440,490,494
491,492,503,491,493
491,494,577,491,493
489,494,635,490,494
492,492,638,491,494
492,491,626,491,495
491,494,539,490,493
492,492,441,491,493
492,492,394,491,492
490,492,364,492,492
491,494,365,490,492
492,494,376,490,492
492,494,407,492,492
490,493,467,490,492
