Sensor0,Sensor1,Sensor2,Sensor3,Sensor4

494,492,265,496,493
496,492,198,492,494
493,494,189,492,494
495,491,224,494,494
494,493,306,493,494
493,492,429,493,494
495,490,576,493,494
492,492,755,494,494
493,492,856,494,494
494,492,839,495,494
495,492,734,494,494
496,493,523,496,494
494,494,350,495,493
495,495,230,495,494
494,496,188,494,494
495,493,203,492,494
495,492,253,493,494
494,492,354,493,494
494,491,494,493,494
494,491,646,494,494
491,492,816,496,494
494,491,857,493,494
495,492,817,494,494
494,493,648,495,493
495,495,445,496,494
496,494,289,496,494
496,492,205,494,493
494,493,188,493,494
494,492,219,495,494
495,493,292,493,494
495,493,412,493,494
493,493,562,493,494
493,493,732,492,494
495,491,854,493,494
495,492,845,495,494
495,493,758,495,494
496,495,555,495,494
496,494,378,494,493
496,494,237,494,494
495,494,188,493,493
494,493,197,493,493
493,494,240,493,494
494,493,339,493,494
494,491,477,492,494
495,492,626,495,494
492,494,799,495,494
493,494,860,494,494
494,494,825,496,494
494,493,678,496,494
495,494,469,495,494
494,493,308,494,493
495,494,211,494,493
495,492,187,493,493
494,492,212,493,494
494,493,278,492,494
494,491,394,493,494
493,492,539,493,494
494,491,706,495,494
492,492,839,497,494
494,493,850,496,494
496,494,777,497,494
495,494,584,494,494
496,494,394,493,494
496,494,245,493,494
496,493,191,492,494
496,492,193,492,494
495,494,231,493,494
492,493,325,493,494
493,492,455,494,494
493,493,605,493,494
493,493,779,493,494
494,491,861,495,494
494,491,833,495,494
493,494,703,496,494
495,493,492,497,494
496,495,329,496,494
496,493,218,496,493
494,493,184,495,493
494,493,208,493,494
495,492,265,493,494
493,493,376,494,494
493,493,518,492,494
492,492,680,493,494
492,491,831,493,494
493,494,852,494,494
494,494,796,494,494
496,493,614,495,494
496,495,418,496,494
496,494,263,495,493
495,495,197,496,493
496,494,189,496,493
497,492,226,495,493
494,493,309,493,494
495,492,435,492,494
491,491,582,491,494
491,492,760,490,494
494,493,859,494,494
493,492,837,494,494
495,494,728,496,493
496,494,520,494,493
495,494,346,495,493
495,494,226,494,493
495,494,186,494,493
494,493,203,494,493
494,492,255,493,494
494,493,358,494,494
493,493,500,495,494
