Sensor0,Sensor1,Sensor2,Sensor3,Sensor4

488,493,492,493,492
487,493,491,493,492
486,493,491,493,492
485,493,492,493,491
485,494,492,492,492
485,491,489,491,490
486,491,490,491,490
487,491,490,492,490
488,491,491,492,490
489,492,491,492,490
489,492,491,492,490
488,492,491,492,490
488,493,492,492,490
487,493,492,492,490
486,492,492,492,490
485,492,492,492,489
484,492,492,492,489
484,493,493,492,489
485,493,493,492,489
486,493,493,492,489
487,493,493,492,489
487,493,493,492,489
488,493,493,492,489
487,493,493,492,489
487,493,493,493,490
486,493,493,492,489
485,493,493,492,489
484,493,493,492,489
483,493,493,492,490
483,493,493,492,490
483,493,493,493,490
484,493,493,492,490
485,493,493,493,490
486,493,493,493,490
487,493,494,493,490
487,493,493,493,490
486,493,493,493,490
486,493,493,493,490
485,493,493,493,490
484,493,493,493,490
483,492,493,493,489
483,493,493,493,490
483,493,493,493,490
483,493,494,493,490
484,493,494,493,490
485,493,493,493,490
486,493,493,493,490
487,493,494,493,490
487,493,494,493,490
486,493,494,493,490
485,493,494,493,490
485,493,494,493,490
484,493,493,493,490
483,493,494,493,490
483,493,493,493,490
483,493,493,493,490
484,493,493,493,490
485,493,493,493,490
486,492,493,493,489
486,492,493,493,489
487,493,493,493,490
486,493,493,493,490
486,493,493,493,490
485,493,493,494,491
485,493,494,493,491
484,494,494,494,492
484,493,493,493,491
484,493,493,493,491
484,493,493,493,489
484,492,493,493,489
485,492,552,542,509
494,520,498,501,499
486,495,492,498,496
486,494,491,496,494
486,493,488,497,496
486,494,491,496,494
485,493,491,496,495
485,494,491,495,495
485,494,491,496,495
485,494,491,496,495
485,495,492,496,495
486,494,491,495,494
487,494,492,496,494
488,494,492,496,494
489,493,491,495,493
489,493,491,495,493
489,494,492,495,493
489,493,492,495,493
488,494,492,495,493
487,494,491,495,494
487,494,491,495,493
486,494,491,495,493
486,494,492,495,492
486,494,492,495,492
487,494,492,495,493
488,494,492,495,493
489,494,492,495,493
490,494,492,495,493
490,494,492,495,492
490,494,492,496,493
489,494,492,495,493
489,494,492,495,493
488,494,492,495,493
487,494,492,495,493
487,494,492,495,493
487,495,493,496,493
488,494,492,495,493
489,494,492,495,494
490,494,492,495,493
491,494,492,495,492
491,494,492,495,493
492,495,492,496,493
491,494,493,496,493
490,494,493,496,493
490,495,492,496,493
489,495,492,495,493
488,495,493,496,493
488,495,492,495,492
488,495,492,496,492
489,495,493,496,493
490,494,492,496,493
491,494,492,495,492
491,494,493,496,493
492,495,492,496,493
491,495,493,496,493
491,495,492,496,493
490,495,492,496,493
489,495,493,496,493
488,495,493,496,493
488,495,493,496,493
488,495,493,496,492
488,495,492,495,492
489,494,492,496,492
490,495,493,496,493
491,495,493,496,493
491,495,493,496,493
491,495,493,496,493
490,495,493,496,494
490,496,493,496,493
489,496,493,496,493
488,495,493,495,492
487,494,493,496,492
486,495,493,496,492
487,495,493,496,492
487,494,493,496,493
488,495,493,496,492
489,495,493,496,492
490,495,493,496,492
490,495,493,496,492
490,494,493,496,492
489,495,493,496,493
488,495,493,496,493
488,495,493,496,492
487,495,493,496,493
486,495,493,496,493
486,495,493,496,493
486,495,493,496,493
487,495,493,496,493
488,495,493,496,493
489,495,493,496,492
489,495,493,496,492
489,494,493,496,492
489,494,493,495,492
488,494,493,496,493
487,495,493,496,493
487,494,492,496,492
486,494,493,496,492
485,494,492,496,491
485,492,490,493,489
485,492,491,493,489
487,493,491,494,490
488,494,492,494,489
489,493,493,494,490
489,493,493,494,490
489,493,493,494,489
488,493,493,494,489
487,493,493,496,489
487,493,493,497,489
486,494,493,498,489
485,493,493,497,490
486,493,493,496,491
486,494,494,492,490
486,494,494,490,490
487,494,494,491,490
488,494,494,493,489
488,493,494,493,489
488,494,494,493,489
487,494,494,493,490
486,494,494,494,490
486,494,494,493,489
484,494,494,494,489
483,494,494,494,489
483,494,495,494,490
483,494,494,494,490
483,494,494,494,490
485,494,494,494,490
485,494,494,494,489
486,494,495,494,489
486,494,494,494,490
486,494,494,493,490
486,494,494,494,490
485,494,494,494,490
484,494,494,494,489
483,494,494,494,489
482,493,494,494,490
482,494,495,494,490
482,494,494,494,490
483,494,494,494,490
484,494,494,494,490
485,494,494,494,490
486,494,494,494,490
486,493,494,494,489
486,494,494,494,490
485,494,494,494,490
484,494,494,494,490
484,494,494,494,489
483,494,494,494,489
483,494,494,494,489
483,494,494,494,489
483,493,494,494,489
484,493,494,494,490
486,494,494,494,490
487,493,494,494,490
487,494,494,494,490
487,493,494,494,490
487,494,494,494,490
486,494,494,494,489
485,493,494,494,489
484,494,495,494,489
483,494,495,494,489
483,494,494,495,490
484,494,495,502,561
