Sensor0,Sensor1,Sensor2,Sensor3,Sensor4

193,494,494,378,492
493,492,493,383,491
494,492,492,392,492
495,492,491,427,492
493,491,493,481,491
492,494,493,543,491
491,492,492,612,491
493,493,494,628,489
493,493,493,620,490
493,493,494,571,490
493,492,492,473,491
494,492,493,410,491
493,491,492,379,492
495,491,493,378,492
493,490,493,385,492
492,491,492,401,492
492,492,493,450,491
492,491,493,506,491
493,491,492,575,490
493,493,494,625,491
494,492,492,626,492
495,494,491,609,490
492,495,492,529,492
493,495,493,437,491
494,492,493,395,491
493,491,494,376,490
492,492,493,380,490
494,491,492,389,489
493,493,494,419,491
493,492,493,474,491
495,494,494,534,491
494,491,492,607,492
495,491,494,628,490
494,491,494,619,491
494,493,492,581,491
493,493,493,483,491
494,493,493,415,490
493,493,493,383,490
493,493,492,376,491
492,491,492,386,491
494,492,494,395,490
494,492,492,444,491
494,491,493,501,491
493,491,492,564,492
494,493,492,623,490
492,492,494,627,492
494,490,493,614,489
493,494,494,542,491
494,493,494,447,491
494,493,492,399,491
493,493,492,379,491
493,493,493,379,492
492,492,493,386,491
492,491,493,412,490
492,491,493,466,491
494,492,493,524,490
493,492,493,601,492
494,492,492,629,491
494,493,491,623,491
494,491,491,590,492
495,491,492,497,491
494,493,492,417,491
493,491,492,387,491
494,493,492,374,490
493,493,494,382,490
493,492,494,394,489
492,493,492,435,491
493,493,493,493,490
493,491,493,554,491
494,491,491,619,491
493,492,493,628,492
492,490,493,615,491
494,494,493,553,491
492,493,493,457,491
494,492,493,403,491
494,493,494,376,490
494,493,493,380,491
494,491,494,385,491
494,492,492,411,489
492,492,494,460,492
493,493,492,516,492
493,492,493,590,491
493,491,494,626,491
493,493,492,625,492
494,494,494,599,490
493,491,492,511,491
494,493,493,425,490
494,492,492,393,490
494,492,492,379,490
493,492,493,382,492
493,490,493,392,489
494,490,492,428,490
493,492,493,485,490
493,492,493,547,489
492,490,492,614,492
494,494,493,629,490
491,491,494,620,492
495,494,492,568,492
495,493,492,468,491
494,492,492,408,491
493,494,492,376,492
492,493,492,380,491
492,492,494,383,491
494,493,495,403,489
493,493,493,452,491
494,493,494,509,492
493,492,493,582,490
494,493,494,625,491
493,491,492,623,492
493,492,493,608,492
493,492,494,523,492
493,493,492,432,490
493,492,493,395,492
494,491,491,376,490
494,493,492,382,490
494,493,492,391,491
494,492,492,420,491
493,491,492,477,490
493,491,494,538,490
492,490,492,607,492
492,491,493,627,491
492,492,494,619,489
494,491,491,578,490
494,493,493,479,492
493,492,492,413,491
494,492,491,381,491
495,494,492,378,491
493,491,492,385,492
493,491,492,398,490
492,491,493,444,491
494,493,493,503,491
493,493,494,567,491
491,494,494,624,491
493,492,493,624,491
492,491,491,614,491
496,492,495,535,491
494,492,492,441,492
494,492,492,398,491
493,491,492,377,493
494,493,491,380,490
492,493,494,389,491
494,490,494,415,490
493,491,493,468,491
493,493,493,528,490
494,492,493,600,491
492,491,492,628,492
492,493,493,622,492
491,491,492,583,493
494,492,494,491,492
493,492,493,417,492
492,493,494,387,493
495,491,494,376,490
494,491,493,383,492
494,492,491,397,491
495,492,492,439,491
494,493,494,497,492
493,492,493,559,492
493,491,493,621,492
494,492,493,625,491
492,492,493,614,490
492,493,494,549,491
493,493,492,452,492
493,493,493,402,491
492,491,494,376,491
494,491,491,379,493
494,491,492,386,492
493,491,492,411,490
492,491,492,460,491
492,492,492,520,491
494,492,493,594,490
493,491,493,627,491
494,493,492,623,491
494,493,492,595,492
493,493,494,503,492
