Sensor0,Sensor1,Sensor2,Sensor3,Sensor4

4,492,491,493,612
490,493,492,494,628
490,494,491,493,620
492,493,491,493,574
493,493,491,493,476
492,494,493,492,412
490,493,493,494,381
493,495,491,493,376
490,494,493,493,384
491,493,493,492,403
491,495,491,493,446
491,493,491,493,506
492,494,494,493,575
492,493,491,493,623
491,493,492,495,625
490,493,493,494,612
490,493,493,494,529
492,494,493,494,438
492,494,492,493,397
491,495,492,491,377
491,494,491,492,379
492,493,491,493,388
492,494,494,492,419
490,492,492,492,473
491,493,492,493,531
490,492,495,494,605
489,493,492,493,630
491,494,492,494,619
490,493,491,492,582
492,493,493,494,486
492,494,492,492,415
491,493,491,493,382
491,492,490,494,374
491,494,491,491,382
490,493,494,492,397
492,491,492,492,442
490,494,493,492,500
490,494,491,492,565
491,494,490,491,623
492,494,493,493,626
491,492,491,494,616
491,495,493,494,541
491,494,493,494,447
491,493,492,493,402
491,493,493,492,374
492,493,493,492,379
491,492,493,494,386
492,494,491,492,412
492,493,491,493,466
491,493,491,493,523
491,495,493,492,597
491,493,493,493,630
492,493,493,493,622
491,495,493,493,591
491,495,493,492,500
491,494,492,492,418
491,493,492,492,387
490,493,493,493,374
492,492,492,493,379
491,492,492,494,392
489,492,492,495,436
490,493,492,492,492
491,493,491,492,556
490,491,491,493,617
492,494,491,491,628
492,493,491,493,616
492,493,491,492,557
490,494,493,492,456
491,493,491,492,405
491,494,492,494,374
489,492,493,493,377
490,494,493,492,386
490,493,491,493,405
490,494,491,492,459
490,493,491,492,517
492,494,491,493,590
492,493,491,494,627
491,492,493,494,625
492,494,491,494,599
490,493,491,493,511
492,493,492,492,426
490,494,493,491,392
491,495,492,492,378
491,493,490,492,381
490,494,493,492,390
492,492,491,492,430
491,493,492,492,484
490,491,492,493,546
489,493,492,493,613
489,494,490,493,627
491,495,492,491,620
489,492,492,494,569
493,494,492,492,467
491,494,492,492,409
491,492,491,493,378
491,495,492,493,374
489,493,491,492,384
492,494,492,493,404
490,494,493,492,452
490,492,491,493,510
490,492,492,494,579
492,494,491,492,626
490,493,493,494,623
491,493,492,494,607
490,493,493,495,523
491,494,492,493,436
491,492,492,492,395
492,494,494,492,377
491,493,492,493,381
492,494,491,492,388
492,494,490,492,422
491,492,491,492,477
491,494,493,494,537
491,492,492,493,611
492,493,493,493,630
491,494,493,492,621
491,494,494,492,578
491,492,492,493,478
491,493,492,492,412
490,493,493,493,379
492,493,490,493,373
490,492,492,494,383
490,492,493,492,401
492,493,492,493,445
490,493,492,493,503
490,493,491,492,570
491,494,492,492,624
491,494,492,493,626
492,492,491,494,614
490,494,494,493,534
491,493,492,493,442
491,492,491,493,398
490,493,494,494,375
489,494,495,493,380
491,492,492,494,386
491,495,492,491,414
490,492,492,492,471
491,494,493,493,529
492,493,492,493,601
492,492,493,492,631
