Sensor0,Sensor1,Sensor2,Sensor3,Sensor4

3,490,493,491,1
493,522,490,492,492
494,600,490,494,493
494,636,490,494,492
493,632,491,495,491
493,598,490,493,491
494,506,491,495,492
493,417,491,494,492
492,383,492,494,492
493,369,491,492,493
494,376,491,494,491
492,388,489,492,493
495,430,491,493,490
493,489,490,492,492
493,554,491,493,493
492,624,491,494,492
494,636,490,493,490
493,625,492,492,495
493,569,493,493,492
492,459,491,494,491
493,401,490,493,492
495,369,491,495,491
492,370,490,494,493
493,379,491,492,493
492,403,490,493,492
492,453,490,492,492
491,514,491,493,492
491,591,491,492,491
494,634,491,492,491
494,634,491,494,492
494,610,490,492,492
494,518,490,493,492
493,428,490,492,493
493,388,492,491,496
492,371,490,492,492
495,374,491,495,489
492,385,492,494,490
492,420,491,493,491
492,480,490,491,493
493,542,490,493,491
492,619,491,493,493
494,638,490,494,492
493,627,490,493,493
494,580,490,493,493
493,473,491,494,492
492,406,490,493,493
494,373,492,494,491
492,369,491,492,492
492,375,490,492,492
494,394,490,491,491
493,447,491,491,490
492,505,489,491,492
493,577,490,495,492
492,633,491,494,491
492,634,491,494,491
492,620,490,492,493
494,533,492,493,492
493,436,491,493,491
493,391,491,492,492
494,367,490,492,493
493,373,490,492,491
492,383,491,493,493
492,414,490,492,491
493,472,490,493,492
492,534,492,493,491
492,611,492,492,491
493,638,491,494,492
493,627,490,492,491
492,589,492,492,492
494,487,491,493,491
493,411,490,493,493
492,377,490,493,494
491,371,490,492,491
494,377,491,492,491
495,389,488,491,491
492,438,491,492,491
492,497,490,493,490
493,563,489,491,491
492,630,492,492,494
492,634,491,491,494
493,624,490,494,492
493,550,491,495,491
493,446,490,494,492
492,395,489,493,493
491,370,493,492,493
492,372,490,491,491
494,379,490,491,491
495,405,489,492,491
493,461,489,492,491
493,524,490,492,492
492,602,491,491,492
491,638,491,493,491
492,632,492,493,490
490,599,493,494,491
493,502,491,493,492
492,417,490,493,491
493,381,491,495,492
492,370,489,489,494
493,377,490,494,493
492,388,490,495,493
492,429,490,493,491
493,490,490,494,491
494,554,490,493,491
493,625,492,492,491
494,635,491,491,491
494,623,489,496,492
492,568,490,493,492
493,458,491,493,492
493,401,490,493,494
493,371,490,492,492
491,373,491,495,491
493,379,489,493,490
492,404,492,493,492
492,454,491,493,492
491,515,491,492,490
494,590,490,491,490
494,635,489,493,492
494,632,491,491,490
493,612,491,494,491
493,516,491,494,493
492,427,491,494,492
491,389,492,493,491
492,371,492,493,493
493,377,491,491,491
493,386,491,494,492
495,421,489,493,491
494,482,490,492,491
492,545,490,494,493
494,617,491,493,491
492,639,491,493,492
493,626,491,492,492
492,578,493,493,492
492,472,492,494,491
492,405,491,494,492
492,372,490,489,493
492,372,492,493,491
493,379,490,495,492
492,399,490,494,492
491,447,490,493,491
492,507,490,493,492
493,578,492,493,490
491,632,490,494,492
493,632,490,492,492
495,617,491,492,491
495,531,491,494,491
493,435,490,492,492
494,393,490,493,490
492,369,490,494,493
491,375,491,494,492
491,384,492,494,491
490,414,489,492,493
492,472,490,492,492
491,535,491,493,492
493,609,490,492,492
494,636,489,493,493
494,629,490,494,490
492,585,492,494,493
493,486,491,493,491
492,410,490,494,491
492,376,491,494,491
493,370,492,492,489
493,377,492,491,491
492,393,490,495,492
494,439,490,494,491
492,499,490,494,493
494,568,490,493,493
493,631,492,495,492
491,635,490,493,492
494,622,492,492,492
494,545,491,495,491
491,443,491,495,492
492,395,491,492,491
493,369,491,492,490
492,373,491,492,492
493,381,492,492,490
491,408,490,492,493
492,464,489,493,491
493,525,491,493,491
491,603,490,492,492
494,637,491,492,492
492,632,491,492,492
494,594,491,493,491
495,499,491,493,491
493,417,490,493,490
493,382,493,494,491
492,371,490,494,492
493,375,490,492,491
492,388,491,494,490
493,433,491,493,490
493,493,491,493,492
492,557,490,491,491
494,624,492,494,491
492,635,490,494,493
493,625,490,492,494
493,563,491,494,493
493,454,491,494,491
493,400,491,495,492
495,368,490,495,491
491,370,491,491,493
493,379,491,489,491
493,402,491,496,489
491,457,490,493,491
493,519,491,493,491
494,595,490,494,493
492,637,490,494,492
492,633,492,494,491
491,611,492,494,493
493,513,490,494,492
493,423,489,493,492
492,385,491,492,490
493,368,489,492,492
494,376,489,493,493
493,386,493,493,491
492,424,490,491,492
490,484,490,494,491
492,547,490,494,491
492,620,491,493,491
492,636,491,492,492
492,625,490,492,490
494,576,491,495,492
493,467,491,494,492
493,402,490,493,493
493,372,489,493,492
493,370,491,492,492
492,380,491,493,492
495,397,492,494,491
492,448,491,493,492
493,509,491,494,491
494,581,491,493,491
494,635,492,495,492
494,633,489,493,490
493,618,492,493,493
493,528,491,493,494
493,431,490,493,493
493,392,491,492,491
493,368,491,495,491
492,374,489,493,492
492,383,492,493,490
492,414,491,493,491
492,474,490,492,491
492,538,491,494,491
493,611,489,494,490
493,638,490,494,492
492,629,491,495,493
492,585,491,494,493
493,483,491,491,492
493,409,491,495,490
494,374,489,493,490
491,368,491,492,490
493,375,490,492,492
493,390,489,491,493
492,440,490,494,491
492,502,489,493,492
493,570,489,489,491
493,632,491,495,490
492,635,492,495,490
492,622,493,494,493
494,544,491,494,492
492,442,491,493,495
493,396,490,493,491
495,368,490,495,492
494,372,490,494,492
493,383,491,492,489
493,411,490,494,492
493,465,491,493,491
492,528,491,494,491
492,607,493,494,492
494,636,492,492,493
491,632,492,491,492
491,591,492,494,493
491,495,491,493,490
494,414,490,494,492
494,380,489,493,494
494,370,490,493,490
493,375,490,492,490
492,389,492,492,492
494,433,491,492,490
492,494,490,493,491
