Sensor0,Sensor1,Sensor2,Sensor3,Sensor4
334,337,335,337,319
334,336,336,336,395
336,337,336,336,271
335,336,335,337,327
336,338,337,337,392
336,337,337,337,271
336,337,338,337,336
334,337,336,336,387
337,337,337,337,273
335,337,336,337,347
336,336,337,337,382
335,338,336,336,274
336,337,337,337,356
335,337,335,336,375
336,336,336,337,274
334,338,336,337,367
336,337,337,337,365
337,336,337,337,274
334,337,336,337,375
336,338,337,338,359
336,337,337,337,275
336,337,336,337,385
336,338,337,337,352
336,337,336,337,276
336,337,338,337,394
335,337,336,337,345
336,338,337,336,278
335,338,336,337,400
336,336,337,337,339
335,337,336,337,279
337,337,337,337,407
335,338,335,337,334
336,337,337,336,279
334,337,336,337,412
336,336,336,337,328
335,337,336,337,282
335,336,336,337,412
335,337,336,338,322
336,337,338,337,281
334,338,337,337,412
335,338,336,336,314
335,337,337,336,284
336,336,335,337,409
335,338,337,337,307
336,337,336,336,284
334,338,336,337,410
336,337,337,336,301
335,338,336,336,289
335,336,337,337,409
334,338,336,337,296
336,336,337,336,292
334,338,335,337,408
337,336,336,336,289
335,337,335,336,297
336,336,336,336,407
334,336,336,337,286
336,336,337,337,301
334,337,336,336,405
336,336,338,336,279
336,338,336,337,304
336,337,337,337,403
334,337,337,336,277
334,336,338,338,306
334,337,338,337,400
335,337,335,336,271
335,337,337,336,311
334,336,335,337,398
335,337,339,336,271
335,337,335,336,317
337,337,337,336,395
335,336,336,336,270
336,337,338,336,324
334,337,336,337,392
335,336,337,337,270
336,338,336,337,332
334,335,335,338,387
335,338,337,336,271
335,337,337,336,341
335,337,338,337,381
334,338,336,337,271
335,337,338,337,351
334,337,336,338,375
335,337,337,337,272
334,338,336,337,360
335,338,338,337,367
335,337,338,337,272
335,337,338,336,371
334,336,336,337,358
335,338,337,337,274
335,338,336,337,381
336,337,337,337,352
335,336,337,337,275
337,338,337,337,391
334,337,336,336,344
336,338,337,337,276
333,338,336,337,396
335,338,337,337,339
334,336,336,336,276
335,337,337,337,405
334,335,336,337,334
336,338,337,337,279
335,337,336,337,408
335,338,336,338,328
336,337,337,336,277
335,337,336,337,411
335,336,337,337,321
335,338,337,336,281
336,336,337,337,409
334,338,338,336,314
334,337,337,336,279
334,338,338,337,410
336,337,336,337,306
335,338,337,336,283
335,336,337,338,408
335,338,337,337,302
336,337,337,336,284
334,339,336,336,407
337,336,336,336,295
335,338,335,337,289
336,336,336,336,406
334,338,336,337,290
336,338,338,337,294
335,337,337,336,406
337,336,337,337,285
335,338,335,336,298
336,338,336,338,406
335,337,336,337,280
336,337,337,337,302
335,336,336,337,403
337,337,338,336,277
335,337,336,336,306
337,338,336,337,402
336,338,336,337,272
335,337,337,337,309
334,336,335,336,398
335,337,337,337,272
336,336,336,337,314
337,337,336,337,397
336,336,336,336,270
336,338,336,337,322
335,336,335,337,393
335,337,337,336,272
335,336,336,337,331
336,337,336,337,392
337,336,336,336,272
336,337,337,336,341
335,336,335,337,385
335,339,336,336,273
335,336,336,336,349
335,337,337,336,381
337,336,336,336,272
335,337,337,338,360
335,336,337,337,371
335,338,336,337,275
337,337,336,336,370
336,338,335,337,365
337,336,337,337,275
335,337,337,337,383
337,336,337,336,356
335,339,336,337,276
336,337,336,337,390
336,336,337,337,349
335,337,336,336,277
336,336,336,337,397
335,338,335,337,344
337,338,337,337,278
334,337,335,336,403
335,336,337,337,336
335,337,338,337,278
336,336,337,337,409
334,336,20559,-30463,19969
20225,20737,20737,22017,19713
20225,20737,20481,6401,19969
20481,20481,20737,-28671,19969
20225,20481,20737,20481,20225
20737,20737,20737,6401,19969
20481,20225,20737,-27391,19713
20737,20737,20737,18945,19713
20481,20481,20737,6145,19457
20481,20481,20737,-26111,19713
20225,20737,20737,17665,19713
20481,20481,20481,6913,19713
20225,20225,20737,-26623,19969
20481,20737,20737,15361,19713
20737,20481,20481,6657,19713
20225,20481,20737,-27135,19713
20481,20993,20737,13569,19457
20225,20225,20481,7169,19969
19969,20481,20737,-26879,19713
20481,20481,20737,12289,19713
20225,20225,20737,7937,19969
20481,20481,20737,-27135,19713
20481,20481,20737,10497,19969
20737,20737,20737,8705,19457
20225,20225,20737,-27647,20225
20481,20481,20737,9217,19201
19969,20737,20481,9985,19969
20481,20481,20737,-27647,19713
20481,20481,20737,7425,20225
20993,20737,20737,10753,19969
21761,20737,20737,-28415,19969
20737,20481,20737,6145,19713
20737,20737,20737,11777,19969
20225,21505,20737,-28671,20225
22017,21505,20993,5889,20481
19969,21761,20481,13057,20225
19713,19713,20737,-28671,20225
21761,20481,20737,4609,19713
20737,20993,20737,14337,19969
21249,18945,20737,-30207,19969
21505,21505,20737,4353,19969
20993,20993,20993,15617,20225
20737,20737,20737,-30463,20737
21505,20225,20737,4353,19969
22017,19713,20737,17921,20225
19969,19201,20481,-31743,19969
22785,21505,20737,4609,19457
20993,20481,20481,19969,20225
20737,19969,20737,-31999,20225
20737,20481,20737,4609,19713
20737,17153,20481,23809,20737
23809,20481,20737,32513,20225
22529,20993,20993,5121,20225
21249,20993,20737,25601,20481
17153,19201,20737,30465,19969
19969,16897,20737,5121,20481
21505,26113,20481,28929,19457
19457,27649,20737,27393,20225
20481,20737,20481,5889,20737
18689,23809,20737,30721,20225
